Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,西园路,68,良,细颗粒物(PM2.5),49,79,0.9,22,105,102,11
20200326,18,档案局,70,良,颗粒物(PM10),36,90,1.1,23,100,109,10
20200326,18,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,市政府,72,良,颗粒物(PM10),51,93,0.8,20,95,99,10
20200326,20,西园路,72,良,颗粒物(PM10),43,93,0.8,25,34,97,13
20200326,20,档案局,75,良,颗粒物(PM10),29,99,1.0,25,32,102,12
20200326,20,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,市政府,76,良,颗粒物(PM10),53,102,0.9,26,28,91,9
20200326,21,西园路,64,良,颗粒物(PM10),38,77,0.8,22,34,91,13
20200326,21,档案局,61,良,颗粒物(PM10),30,71,1.0,22,33,95,12
20200326,21,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,市政府,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,98,1.0,26,23,83,12
20200327,10,西园路,73,良,细颗粒物(PM2.5),53,89,0.8,12,34,11,7
20200327,10,档案局,74,良,细颗粒物(PM2.5),54,NaN,0.9,11,32,9,7
20200327,10,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,市政府,74,良,细颗粒物(PM2.5),54,82,0.7,11,36,12,7
20200327,11,西园路,59,良,细颗粒物(PM2.5),42,NaN,0.7,10,46,16,7
20200327,11,档案局,55,良,细颗粒物(PM2.5),39,48,0.7,9,47,15,6
20200327,11,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,市政府,46,优,NaN,32,34,0.6,8,44,17,7
20200327,12,西园路,55,良,细颗粒物(PM2.5),39,NaN,0.7,10,66,24,8
20200327,12,档案局,50,优,NaN,35,46,0.6,9,NaN,17,6
20200327,12,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,市政府,49,优,NaN,34,NaN,0.7,10,66,24,8
20200327,13,西园路,62,良,细颗粒物(PM2.5),44,45,0.7,11,100,36,8
20200327,13,档案局,61,良,颗粒物(PM10),37,71,0.7,10,107,32,7
20200327,13,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市政府,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.7,11,109,38,9
20200327,13,西园路,62,良,细颗粒物(PM2.5),44,45,0.7,11,100,36,8
20200327,13,档案局,61,良,颗粒物(PM10),37,71,0.7,10,107,32,7
20200327,13,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市政府,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.7,11,109,38,9
20200327,14,西园路,50,优,NaN,35,46,0.6,8,104,48,7
20200327,14,档案局,46,优,NaN,30,46,0.7,6,113,47,6
20200327,14,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,市政府,47,优,NaN,28,47,0.6,6,113,52,7
20200327,15,西园路,50,优,NaN,35,42,0.7,14,153,67,9
20200327,15,档案局,57,良,臭氧1小时,28,NaN,0.8,13,165,70,8
20200327,15,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市政府,54,良,臭氧1小时,26,39,0.7,14,163,71,10
20200327,15,西园路,50,优,NaN,35,42,0.7,14,153,67,9
20200327,15,档案局,57,良,臭氧1小时,28,NaN,0.8,13,165,70,8
20200327,15,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市政府,54,良,臭氧1小时,26,39,0.7,14,163,71,10
20200327,16,西园路,54,良,颗粒物(PM10),32,58,0.7,15,147,84,8
20200327,16,档案局,50,优,NaN,26,35,0.8,14,159,91,7
20200327,16,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,市政府,58,良,颗粒物(PM10),26,65,0.7,15,142,87,8
20200327,17,西园路,50,优,NaN,29,50,0.6,16,115,96,9
20200327,17,档案局,51,良,颗粒物(PM10),22,51,0.7,15,117,106,8
20200327,17,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市政府,56,良,颗粒物(PM10),24,62,0.6,13,115,98,8
20200330,07,西园路,73,良,细颗粒物(PM2.5),53,NaN,0.6,18,26,39,8
20200330,07,档案局,75,良,细颗粒物(PM2.5),55,NaN,0.9,18,27,38,8
20200330,07,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,市政府,78,良,细颗粒物(PM2.5),57,NaN,0.7,22,24,40,8
20200330,08,西园路,64,良,细颗粒物(PM2.5),46,NaN,0.6,21,23,37,8
20200330,08,档案局,65,良,细颗粒物(PM2.5),47,NaN,0.9,18,26,37,6
20200330,08,市政公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,市政府,60,良,细颗粒物(PM2.5),43,NaN,0.8,22,24,38,7
20200330,09,西园路,67,良,细颗粒物(PM2.5),48,NaN,0.7,20,25,34,13
