Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,阿里监测站,26,优,NaN,4,10,0.5,2,81,74,6
20200326,18,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,阿里监测站,25,优,NaN,9,12,0.6,2,78,79,6
20200326,20,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,阿里监测站,25,优,NaN,6,7,0.6,2,77,79,7
20200326,21,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,09,阿里监测站,24,优,NaN,4,24,0.6,10,48,60,11
20200327,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,阿里监测站,16,优,NaN,6,13,0.6,9,51,57,14
20200327,11,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,阿里监测站,17,优,NaN,2,9,0.7,11,53,56,13
20200327,12,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,阿里监测站,20,优,NaN,5,11,0.6,6,64,55,9
20200327,13,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,阿里监测站,20,优,NaN,5,11,0.6,6,64,55,9
20200327,13,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,阿里监测站,22,优,NaN,4,9,0.6,3,68,56,8
20200327,14,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,阿里监测站,22,优,NaN,1,5,0.6,3,69,57,10
20200327,15,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,阿里监测站,22,优,NaN,1,5,0.6,3,69,57,10
20200327,15,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,阿里监测站,22,优,NaN,NaN,5,0.6,3,68,59,8
20200327,16,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,阿里监测站,22,优,NaN,5,10,0.6,4,68,61,8
20200327,17,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,阿里监测站,22,优,NaN,5,10,0.6,4,68,61,8
20200327,17,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,阿里监测站,18,优,NaN,4,14,0.4,10,56,73,28
20200330,07,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,阿里监测站,52,良,颗粒物(PM10),7,53,0.4,8,65,72,29
20200330,08,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,阿里监测站,35,优,NaN,6,35,0.4,15,61,70,14
20200330,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,阿里监测站,35,优,NaN,6,35,0.4,15,61,70,14
20200330,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,阿里监测站,35,优,NaN,6,35,0.4,15,61,70,14
20200330,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,阿里监测站,21,优,NaN,10,15,0.5,14,65,67,9
20200330,10,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,阿里监测站,21,优,NaN,10,15,0.5,14,65,67,9
20200330,10,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,阿里监测站,20,优,NaN,10,20,0.4,16,64,65,13
20200330,11,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
