Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,莱州外经委,25,优,NaN,5,18,0.6,9,79,72,9
20200326,20,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,莱州外经委,28,优,NaN,8,24,0.6,8,89,75,9
20200326,21,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,莱州外经委,28,优,NaN,9,22,0.6,8,88,78,9
20200327,10,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,莱州外经委,72,良,颗粒物(PM10),11,94,0.5,6,83,75,9
20200327,11,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,莱州外经委,64,良,颗粒物(PM10),12,77,0.5,5,83,76,9
20200327,12,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,莱州外经委,68,良,颗粒物(PM10),8,85,0.5,5,84,77,9
20200327,13,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,莱州外经委,71,良,颗粒物(PM10),12,91,0.5,5,88,79,9
20200327,14,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,莱州外经委,50,优,NaN,9,50,0.5,5,89,81,8
20200327,14,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,莱州外经委,50,优,NaN,9,50,0.5,5,89,81,8
20200327,15,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,莱州外经委,35,优,NaN,5,35,0.5,6,88,84,8
20200327,15,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,莱州外经委,35,优,NaN,5,35,0.5,6,88,84,8
20200330,10,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,莱州外经委,105,轻度污染,细颗粒物(PM2.5),79,142,1.0,24,93,53,21
20200330,10,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,莱州外经委,105,轻度污染,细颗粒物(PM2.5),79,142,1.0,24,93,53,21
20200330,10,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,莱州外经委,105,轻度污染,细颗粒物(PM2.5),79,142,1.0,24,93,53,21
20200330,11,莱州环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,莱州外经委,94,良,细颗粒物(PM2.5),70,117,0.9,14,117,62,16
