Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,金泉两河,49,优,NaN,34,43,0.7,26,32,50,6
20200402,08,十里店,58,良,颗粒物(PM10),25,66,0.6,30,33,34,6
20200402,08,三瓦窑,82,良,细颗粒物(PM2.5),60,77,0.6,25,39,35,4
20200402,08,沙河铺,73,良,细颗粒物(PM2.5),53,70,0.6,26,35,33,5
20200402,08,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,08,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,灵岩寺,26,优,NaN,11,14,0.5,5,81,78,13
20200402,08,君平街,68,良,细颗粒物(PM2.5),49,62,0.6,25,38,44,2
20200402,08,大石西路,59,良,细颗粒物(PM2.5),42,48,0.6,18,39,46,5
20200402,08,龙泉驿区区政府,64,良,细颗粒物(PM2.5),46,64,0.9,28,32,39,9
20200402,09,金泉两河,48,优,NaN,33,41,0.8,32,24,48,6
20200402,09,十里店,55,良,颗粒物(PM10),26,60,0.7,35,31,38,6
20200402,09,三瓦窑,83,良,细颗粒物(PM2.5),61,79,0.6,43,20,37,3
20200402,09,沙河铺,72,良,细颗粒物(PM2.5),52,71,0.6,36,27,36,5
20200402,09,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,09,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,灵岩寺,25,优,NaN,10,12,0.4,11,77,78,11
20200402,09,君平街,70,良,细颗粒物(PM2.5),51,63,0.7,39,18,44,2
20200402,09,大石西路,60,良,细颗粒物(PM2.5),43,46,0.7,33,25,47,5
20200402,09,龙泉驿区区政府,65,良,细颗粒物(PM2.5),47,64,1.0,30,25,35,9
20200402,10,金泉两河,40,优,NaN,28,36,0.8,40,16,42,6
20200402,10,十里店,49,优,NaN,23,49,0.7,37,35,38,6
20200402,10,三瓦窑,77,良,细颗粒物(PM2.5),56,76,0.8,48,17,38,3
20200402,10,沙河铺,65,良,细颗粒物(PM2.5),47,69,0.7,41,27,36,5
20200402,10,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,10,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,灵岩寺,25,优,NaN,10,12,0.4,12,77,78,7
20200402,10,君平街,67,良,细颗粒物(PM2.5),48,58,0.8,42,20,42,2
20200402,10,大石西路,55,良,细颗粒物(PM2.5),39,44,0.7,32,34,45,4
20200402,10,龙泉驿区区政府,63,良,细颗粒物(PM2.5),45,64,1.0,36,28,33,9
20200402,11,金泉两河,40,优,NaN,28,37,0.9,45,15,36,9
20200402,11,十里店,47,优,NaN,23,47,0.7,39,38,37,6
20200402,11,三瓦窑,77,良,细颗粒物(PM2.5),56,76,0.8,54,14,35,3
20200402,11,沙河铺,56,良,颗粒物(PM10),39,62,0.7,41,32,35,4
20200402,11,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,11,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,灵岩寺,24,优,NaN,12,13,0.3,7,75,78,6
20200402,11,君平街,60,良,细颗粒物(PM2.5),43,53,0.8,46,26,37,2
20200402,11,大石西路,48,优,NaN,33,46,0.7,36,34,42,4
20200402,11,龙泉驿区区政府,63,良,细颗粒物(PM2.5),45,64,NaN,38,40,34,10
20200402,12,金泉两河,38,优,NaN,26,36,0.9,42,32,33,8
20200402,12,十里店,53,良,颗粒物(PM10),28,55,0.7,48,29,35,7
20200402,12,三瓦窑,67,良,细颗粒物(PM2.5),48,70,0.8,51,25,32,3
20200402,12,沙河铺,58,良,细颗粒物(PM2.5),41,60,0.6,39,38,34,5
20200402,12,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,12,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,灵岩寺,28,优,NaN,19,22,0.4,15,55,75,8
20200402,12,君平街,53,良,细颗粒物(PM2.5),37,48,0.7,47,37,35,2
20200402,12,大石西路,46,优,NaN,31,46,0.7,43,33,38,5
20200402,12,龙泉驿区区政府,72,良,细颗粒物(PM2.5),52,73,1.1,NaN,43,34,10
20200402,13,金泉两河,43,优,NaN,30,42,0.8,30,54,34,9
20200402,13,十里店,50,优,NaN,27,50,0.7,43,38,35,7
20200402,13,三瓦窑,52,良,颗粒物(PM10),33,54,0.6,30,56,34,4
20200402,13,沙河铺,59,良,细颗粒物(PM2.5),42,60,0.6,43,37,34,5
20200402,13,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,13,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,灵岩寺,32,优,NaN,22,25,0.4,13,55,73,6
20200402,13,君平街,58,良,细颗粒物(PM2.5),41,54,0.6,44,48,35,4
20200402,13,大石西路,52,良,颗粒物(PM10),33,53,0.6,38,45,38,5
20200402,13,龙泉驿区区政府,60,良,细颗粒物(PM2.5),43,58,0.6,34,NaN,34,9
20200402,14,金泉两河,52,良,细颗粒物(PM2.5),36,49,0.7,28,52,34,9
20200402,14,十里店,54,良,颗粒物(PM10),32,57,0.6,37,50,37,7
20200402,14,三瓦窑,59,良,颗粒物(PM10),40,68,0.7,42,51,34,4
20200402,14,沙河铺,62,良,细颗粒物(PM2.5),44,62,0.6,41,40,35,5
20200402,14,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,14,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,灵岩寺,33,优,NaN,23,28,0.3,15,57,70,5
20200402,14,君平街,59,良,细颗粒物(PM2.5),42,58,0.6,36,59,37,4
20200402,14,大石西路,52,良,颗粒物(PM10),34,54,0.5,25,62,40,6
20200402,14,龙泉驿区区政府,55,良,细颗粒物(PM2.5),39,50,0.5,30,NaN,34,10
20200402,14,金泉两河,52,良,细颗粒物(PM2.5),36,49,0.7,28,52,34,9
20200402,14,十里店,54,良,颗粒物(PM10),32,57,0.6,37,50,37,7
20200402,14,三瓦窑,59,良,颗粒物(PM10),40,68,0.7,42,51,34,4
20200402,14,沙河铺,62,良,细颗粒物(PM2.5),44,62,0.6,41,40,35,5
20200402,14,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,14,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,灵岩寺,33,优,NaN,23,28,0.3,15,57,70,5
20200402,14,君平街,59,良,细颗粒物(PM2.5),42,58,0.6,36,59,37,4
20200402,14,大石西路,52,良,颗粒物(PM10),34,54,0.5,25,62,40,6
20200402,14,龙泉驿区区政府,55,良,细颗粒物(PM2.5),39,50,0.5,30,NaN,34,10
20200402,15,金泉两河,38,优,NaN,26,38,0.7,22,55,35,8
20200402,15,十里店,49,优,NaN,28,49,0.6,31,54,38,8
20200402,15,三瓦窑,64,良,细颗粒物(PM2.5),46,75,0.6,37,55,35,4
20200402,15,沙河铺,64,良,细颗粒物(PM2.5),46,68,0.6,37,44,35,6
20200402,15,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,15,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,灵岩寺,38,优,NaN,26,32,0.4,15,54,66,5
20200402,15,君平街,62,良,细颗粒物(PM2.5),44,61,0.6,33,55,38,4
20200402,15,大石西路,55,良,颗粒物(PM10),36,60,0.5,26,55,41,6
20200402,15,龙泉驿区区政府,53,良,细颗粒物(PM2.5),37,49,0.5,29,NaN,34,9
20200402,16,金泉两河,32,优,NaN,20,32,0.6,18,61,39,7
20200402,16,十里店,43,优,NaN,23,43,0.6,30,54,41,8
20200402,16,三瓦窑,54,良,颗粒物(PM10),33,58,0.6,36,46,36,NaN
20200402,16,沙河铺,46,优,NaN,25,46,0.5,29,51,37,6
20200402,16,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,16,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,灵岩寺,40,优,NaN,28,34,0.4,15,54,63,5
20200402,16,君平街,46,优,NaN,31,46,0.5,24,64,41,3
20200402,16,大石西路,43,优,NaN,24,43,0.5,19,63,44,6
20200402,16,龙泉驿区区政府,42,优,NaN,29,40,0.5,25,52,38,9
20200402,17,金泉两河,34,优,NaN,21,34,0.6,17,62,43,6
20200402,17,十里店,45,优,NaN,24,45,0.6,27,50,44,7
20200402,17,三瓦窑,54,良,颗粒物(PM10),29,58,0.6,37,47,39,4
20200402,17,沙河铺,51,良,颗粒物(PM10),32,51,0.6,31,40,39,5
20200402,17,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,17,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,灵岩寺,40,优,NaN,28,34,0.4,13,47,59,5
20200402,17,君平街,51,良,颗粒物(PM10),34,52,0.5,26,55,46,3
20200402,17,大石西路,48,优,NaN,26,48,0.5,20,61,48,6
20200402,17,龙泉驿区区政府,43,优,NaN,30,41,0.5,31,46,42,8
20200402,18,金泉两河,30,优,NaN,18,30,0.6,18,58,49,6
20200402,18,十里店,43,优,NaN,22,43,0.6,22,56,46,6
20200402,18,三瓦窑,56,良,颗粒物(PM10),28,62,0.6,34,44,42,3
20200402,18,沙河铺,48,优,NaN,28,48,0.5,26,49,41,5
20200402,18,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,18,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,灵岩寺,40,优,NaN,28,34,0.4,12,46,55,5
20200402,18,君平街,52,良,颗粒物(PM10),35,54,0.5,26,51,49,3
20200402,18,大石西路,51,良,颗粒物(PM10),28,51,0.5,19,57,51,5
20200402,18,龙泉驿区区政府,37,优,NaN,25,37,0.5,22,56,47,8
20200402,19,金泉两河,28,优,NaN,16,28,0.6,19,54,54,6
20200402,19,十里店,35,优,NaN,18,35,0.5,18,57,48,6
20200402,19,三瓦窑,52,良,颗粒物(PM10),22,54,0.6,24,56,48,3
20200402,19,沙河铺,40,优,NaN,20,40,0.5,19,54,44,4
20200402,19,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,19,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,灵岩寺,36,优,NaN,25,32,0.4,14,43,51,5
20200402,19,君平街,45,优,NaN,28,45,0.5,27,50,52,2
20200402,19,大石西路,45,优,NaN,24,45,0.5,20,54,54,5
20200402,19,龙泉驿区区政府,38,优,NaN,25,38,0.5,20,56,51,8
20200402,20,金泉两河,22,优,NaN,12,22,0.6,22,46,55,6
20200402,20,十里店,31,优,NaN,17,31,0.5,23,47,51,6
20200402,20,三瓦窑,41,优,NaN,15,41,0.5,18,56,51,3
20200402,20,沙河铺,35,优,NaN,16,35,0.5,20,48,45,4
20200402,20,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,20,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,灵岩寺,32,优,NaN,22,27,0.4,15,47,50,5
20200402,20,君平街,35,优,NaN,22,35,0.5,22,51,54,1
20200402,20,大石西路,34,优,NaN,18,34,0.4,18,54,56,5
20200402,20,龙泉驿区区政府,35,优,NaN,23,35,0.5,18,54,53,8
20200402,20,金泉两河,22,优,NaN,12,22,0.6,22,46,55,6
20200402,20,十里店,31,优,NaN,17,31,0.5,23,47,51,6
20200402,20,三瓦窑,41,优,NaN,15,41,0.5,18,56,51,3
20200402,20,沙河铺,35,优,NaN,16,35,0.5,20,48,45,4
20200402,20,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,20,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,灵岩寺,32,优,NaN,22,27,0.4,15,47,50,5
20200402,20,君平街,35,优,NaN,22,35,0.5,22,51,54,1
20200402,20,大石西路,34,优,NaN,18,34,0.4,18,54,56,5
20200402,20,龙泉驿区区政府,35,优,NaN,23,35,0.5,18,54,53,8
20200402,22,金泉两河,26,优,NaN,15,26,0.7,25,36,51,6
20200402,22,十里店,23,优,NaN,12,23,0.6,32,28,47,5
20200402,22,三瓦窑,36,优,NaN,13,36,0.6,32,29,48,3
20200402,22,沙河铺,26,优,NaN,11,26,0.5,25,30,44,4
20200402,22,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,22,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,灵岩寺,19,优,NaN,7,9,0.4,9,60,50,5
20200402,22,君平街,28,优,NaN,19,28,0.5,24,37,51,1
20200402,22,大石西路,29,优,NaN,15,29,0.5,24,36,53,4
20200402,22,龙泉驿区区政府,32,优,NaN,22,32,0.5,21,44,51,7
20200402,23,金泉两河,20,优,NaN,12,20,0.6,19,39,49,6
20200402,23,十里店,19,优,NaN,10,19,0.5,21,36,45,5
20200402,23,三瓦窑,29,优,NaN,9,29,0.6,32,27,44,3
20200402,23,沙河铺,21,优,NaN,7,21,0.5,22,33,43,4
20200402,23,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200402,23,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,灵岩寺,16,优,NaN,6,10,0.4,10,51,50,5
20200402,23,君平街,29,优,NaN,19,29,0.5,26,33,48,1
20200402,23,大石西路,26,优,NaN,14,26,0.5,20,38,51,5
20200402,23,龙泉驿区区政府,16,优,NaN,11,16,0.5,17,41,50,7
20200403,00,金泉两河,15,优,NaN,6,11,0.6,13,45,47,5
20200403,00,十里店,14,优,NaN,7,14,0.5,20,34,42,5
20200403,00,三瓦窑,18,优,NaN,NaN,18,0.5,21,38,43,2
20200403,00,沙河铺,15,优,NaN,NaN,15,0.5,18,35,41,4
20200403,00,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,00,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,灵岩寺,15,优,NaN,4,12,0.3,8,45,49,5
20200403,00,君平街,18,优,NaN,12,18,0.5,20,41,45,3
20200403,00,大石西路,17,优,NaN,9,17,0.5,14,43,48,4
20200403,00,龙泉驿区区政府,13,优,NaN,8,13,0.5,16,38,48,7
20200403,01,金泉两河,15,优,NaN,4,7,0.6,11,48,48,5
20200403,01,十里店,14,优,NaN,8,14,0.5,20,34,34,5
20200403,01,三瓦窑,16,优,NaN,11,16,0.5,20,36,36,2
20200403,01,沙河铺,16,优,NaN,10,16,0.5,18,33,33,4
20200403,01,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,01,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,灵岩寺,28,优,NaN,1,28,0.3,8,43,43,5
20200403,01,君平街,16,优,NaN,11,15,0.5,16,41,41,3
20200403,01,大石西路,15,优,NaN,8,15,0.5,12,41,41,5
20200403,01,龙泉驿区区政府,13,优,NaN,8,13,0.5,15,39,39,7
20200403,02,金泉两河,16,优,NaN,3,6,0.6,10,51,50,5
20200403,02,十里店,16,优,NaN,8,16,0.5,18,36,35,5
20200403,02,三瓦窑,15,优,NaN,10,14,0.5,16,42,39,1
20200403,02,沙河铺,16,优,NaN,11,14,0.5,16,37,35,4
20200403,02,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,02,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,灵岩寺,18,优,NaN,2,18,0.4,11,35,39,5
20200403,02,君平街,16,优,NaN,11,15,0.5,14,46,44,3
20200403,02,大石西路,15,优,NaN,8,14,0.5,9,47,44,4
20200403,02,龙泉驿区区政府,12,优,NaN,7,11,0.5,15,38,38,7
20200403,03,金泉两河,16,优,NaN,5,9,0.6,11,51,50,5
20200403,03,十里店,14,优,NaN,8,14,0.5,16,39,36,5
20200403,03,三瓦窑,18,优,NaN,12,18,0.5,16,41,40,1
20200403,03,沙河铺,18,优,NaN,12,15,0.5,14,39,36,4
20200403,03,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,03,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,灵岩寺,11,优,NaN,1,11,0.4,11,32,37,5
20200403,03,君平街,18,优,NaN,12,17,0.5,14,45,44,3
20200403,03,大石西路,17,优,NaN,10,17,0.5,8,47,45,4
20200403,03,龙泉驿区区政府,12,优,NaN,7,11,0.5,15,37,38,7
20200403,08,金泉两河,12,优,NaN,7,11,0.7,22,38,45,6
20200403,08,十里店,13,优,NaN,6,10,0.6,20,40,39,6
20200403,08,三瓦窑,14,优,NaN,7,10,0.6,17,44,44,1
20200403,08,沙河铺,12,优,NaN,6,10,0.6,18,37,39,4
20200403,08,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,08,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,灵岩寺,19,优,NaN,1,19,0.4,13,36,35,5
20200403,08,君平街,14,优,NaN,7,10,0.5,17,44,47,1
20200403,08,大石西路,16,优,NaN,6,9,0.5,12,49,45,4
20200403,08,龙泉驿区区政府,13,优,NaN,9,13,0.6,24,30,37,7
20200403,09,金泉两河,13,优,NaN,6,10,0.7,25,37,44,5
20200403,09,十里店,13,优,NaN,6,11,0.6,25,34,39,5
20200403,09,三瓦窑,12,优,NaN,8,12,0.6,22,38,44,1
20200403,09,沙河铺,11,优,NaN,6,11,0.6,22,34,39,4
20200403,09,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,09,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,灵岩寺,20,优,NaN,2,20,0.4,15,36,34,5
20200403,09,君平街,13,优,NaN,6,10,0.6,21,40,47,1
20200403,09,大石西路,15,优,NaN,6,9,0.6,16,45,46,5
20200403,09,龙泉驿区区政府,14,优,NaN,5,8,0.6,28,30,36,7
20200403,10,金泉两河,14,优,NaN,6,11,0.7,28,34,41,6
20200403,10,十里店,15,优,NaN,7,12,0.6,30,29,38,5
20200403,10,三瓦窑,17,优,NaN,10,14,0.6,33,28,42,1
20200403,10,沙河铺,14,优,NaN,9,13,0.6,28,28,38,4
20200403,10,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,10,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,灵岩寺,15,优,NaN,2,15,0.5,14,38,34,5
20200403,10,君平街,14,优,NaN,6,10,0.6,22,42,46,1
20200403,10,大石西路,15,优,NaN,10,15,0.6,23,38,44,4
20200403,10,龙泉驿区区政府,14,优,NaN,6,8,0.6,27,32,35,7
20200403,11,金泉两河,13,优,NaN,6,11,0.7,26,37,40,6
20200403,11,十里店,13,优,NaN,7,12,0.6,26,35,38,5
20200403,11,三瓦窑,17,优,NaN,10,14,0.6,33,30,41,1
20200403,11,沙河铺,13,优,NaN,8,13,0.6,26,32,37,4
20200403,11,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,11,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,灵岩寺,13,优,NaN,2,13,0.5,15,37,35,5
20200403,11,君平街,14,优,NaN,7,12,0.6,22,44,46,1
20200403,11,大石西路,16,优,NaN,10,16,0.6,24,38,43,4
20200403,11,龙泉驿区区政府,13,优,NaN,6,10,0.6,26,34,35,7
20200403,12,金泉两河,14,优,NaN,7,14,0.7,26,36,38,6
20200403,12,十里店,13,优,NaN,6,11,0.6,25,37,37,5
20200403,12,三瓦窑,14,优,NaN,9,14,0.6,27,38,40,1
20200403,12,沙河铺,12,优,NaN,7,12,0.6,23,35,36,4
20200403,12,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,12,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,灵岩寺,11,优,NaN,3,9,0.5,16,33,35,5
20200403,12,君平街,14,优,NaN,8,14,0.6,24,44,46,1
20200403,12,大石西路,20,优,NaN,12,20,0.6,29,33,42,5
20200403,12,龙泉驿区区政府,13,优,NaN,7,11,0.6,26,36,34,7
20200403,13,金泉两河,13,优,NaN,6,12,0.7,23,41,38,5
20200403,13,十里店,13,优,NaN,5,10,0.6,23,40,37,5
20200403,13,三瓦窑,15,优,NaN,8,12,0.6,20,45,40,1
20200403,13,沙河铺,12,优,NaN,6,11,0.6,20,38,36,4
20200403,13,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,13,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,灵岩寺,NaN,,NaN,NaN,NaN,0.4,13,28,35,NaN
20200403,13,君平街,14,优,NaN,8,13,0.6,24,44,44,1
20200403,13,大石西路,15,优,NaN,9,15,0.6,22,42,42,5
20200403,13,龙泉驿区区政府,13,优,NaN,7,11,0.6,21,41,34,7
20200403,14,金泉两河,13,优,NaN,6,12,0.7,24,41,38,6
20200403,14,十里店,14,优,NaN,2,10,0.6,22,42,37,5
20200403,14,三瓦窑,15,优,NaN,6,8,0.6,18,48,40,1
20200403,14,沙河铺,14,优,NaN,5,10,0.6,19,42,36,4
20200403,14,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,14,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,灵岩寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,35,NaN
20200403,14,君平街,15,优,NaN,7,12,0.5,20,47,45,1
20200403,14,大石西路,15,优,NaN,6,10,0.5,16,48,43,4
20200403,14,龙泉驿区区政府,14,优,NaN,6,10,0.5,19,44,35,7
20200403,15,金泉两河,14,优,NaN,6,13,0.7,23,44,38,5
20200403,15,十里店,15,优,NaN,1,9,0.6,18,48,38,5
20200403,15,三瓦窑,16,优,NaN,5,6,0.6,19,49,40,1
20200403,15,沙河铺,15,优,NaN,3,10,0.5,17,46,36,4
20200403,15,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,15,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,灵岩寺,18,优,NaN,12,NaN,0.5,16,34,35,4
20200403,15,君平街,15,优,NaN,8,13,0.5,21,47,44,1
20200403,15,大石西路,17,优,NaN,5,10,0.5,15,52,43,4
20200403,15,龙泉驿区区政府,15,优,NaN,5,8,0.5,18,46,37,8
20200403,16,金泉两河,15,优,NaN,7,15,0.7,27,44,39,6
20200403,16,十里店,17,优,NaN,1,8,0.6,16,54,40,5
20200403,16,三瓦窑,16,优,NaN,4,4,0.6,17,51,41,1
20200403,16,沙河铺,15,优,NaN,2,9,0.5,17,48,38,4
20200403,16,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,16,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,灵岩寺,12,优,NaN,8,NaN,0.5,15,38,35,5
20200403,16,君平街,16,优,NaN,7,12,0.5,21,51,45,1
20200403,16,大石西路,17,优,NaN,5,11,0.5,16,53,44,4
20200403,16,龙泉驿区区政府,15,优,NaN,3,6,0.5,17,48,39,8
20200403,17,金泉两河,14,优,NaN,6,14,0.7,27,44,40,6
20200403,17,十里店,18,优,NaN,1,7,0.6,16,55,42,5
20200403,17,三瓦窑,16,优,NaN,3,6,0.6,19,50,42,1
20200403,17,沙河铺,15,优,NaN,5,9,0.5,18,47,40,4
20200403,17,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,17,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,17,灵岩寺,13,优,NaN,4,7,0.5,16,41,36,4
20200403,17,君平街,16,优,NaN,6,11,0.5,22,50,46,1
20200403,17,大石西路,16,优,NaN,5,11,0.5,18,51,44,4
20200403,17,龙泉驿区区政府,15,优,NaN,4,7,0.6,19,45,41,8
20200403,18,金泉两河,15,优,NaN,6,14,0.7,24,48,42,6
20200403,18,十里店,16,优,NaN,1,8,0.6,18,51,45,5
20200403,18,三瓦窑,15,优,NaN,3,4,0.6,21,47,45,1
20200403,18,沙河铺,15,优,NaN,4,8,0.5,18,48,42,4
20200403,18,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,18,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,18,灵岩寺,13,优,NaN,5,5,0.5,16,39,36,4
20200403,18,君平街,16,优,NaN,6,10,0.6,23,50,47,1
20200403,18,大石西路,18,优,NaN,4,10,0.5,16,55,46,3
20200403,18,龙泉驿区区政府,15,优,NaN,4,7,0.6,20,47,43,8
20200403,19,金泉两河,16,优,NaN,7,16,0.7,28,42,42,6
20200403,19,十里店,15,优,NaN,4,9,0.6,21,48,47,5
20200403,19,三瓦窑,16,优,NaN,6,NaN,0.6,18,50,47,1
20200403,19,沙河铺,15,优,NaN,5,9,0.6,20,46,44,4
20200403,19,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,19,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,19,灵岩寺,13,优,NaN,4,5,0.5,17,40,36,4
20200403,19,君平街,16,优,NaN,7,11,0.6,22,50,48,1
20200403,19,大石西路,17,优,NaN,5,10,0.5,17,53,48,3
20200403,19,龙泉驿区区政府,14,优,NaN,5,8,0.6,22,44,44,7
20200403,20,金泉两河,16,优,NaN,7,16,0.7,27,43,43,6
20200403,20,十里店,13,优,NaN,7,11,0.6,26,40,47,5
20200403,20,三瓦窑,14,优,NaN,9,NaN,0.6,23,44,48,1
20200403,20,沙河铺,13,优,NaN,8,12,0.6,22,41,44,4
20200403,20,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,20,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,20,灵岩寺,12,优,NaN,4,4,0.5,18,38,37,4
20200403,20,君平街,15,优,NaN,8,13,0.6,24,47,48,1
20200403,20,大石西路,17,优,NaN,6,12,0.5,16,52,51,4
20200403,20,龙泉驿区区政府,15,优,NaN,6,8,0.6,19,45,45,7
20200403,21,金泉两河,19,优,NaN,8,19,0.7,29,39,43,6
20200403,21,十里店,14,优,NaN,5,12,0.6,25,42,48,6
20200403,21,三瓦窑,15,优,NaN,10,NaN,0.6,24,42,48,1
20200403,21,沙河铺,14,优,NaN,8,12,0.6,21,42,45,4
20200403,21,梁家巷,70,良,颗粒物(PM10),50,89,0.8,37,80,111,NaN
20200403,21,草堂寺,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,21,灵岩寺,15,优,NaN,10,NaN,0.5,16,42,39,4
20200403,21,君平街,15,优,NaN,8,14,0.6,24,46,48,1
20200403,21,大石西路,15,优,NaN,6,12,0.5,18,48,52,3
20200403,21,龙泉驿区区政府,14,优,NaN,6,9,0.6,20,44,45,7
20200403,22,金泉两河,19,优,NaN,9,19,0.7,28,38,43,6
