Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,果树场,89,良,细颗粒物(PM2.5),66,98,2.8,76,20,37,54
20200326,18,红旗广场,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,云冈宾馆,36,优,NaN,2,36,0.6,6,87,84,10
20200326,18,大同大学,25,优,NaN,9,9,0.5,12,79,76,7
20200326,18,安家小村,NaN,,NaN,NaN,NaN,0.6,11,80,83,17
20200326,18,教育学院,25,优,NaN,12,23,0.5,10,80,79,10
20200326,18,供排水公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,果树场(对照点),28,优,NaN,2,16,0.3,9,88,85,10
20200326,18,红旗广场(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,第二人民医院(145搬迁启用200102),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,供排水公司(停运200102),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,大同市卫生学校(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,云冈站(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,图书馆(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,区一中(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,第二人民医院,26,优,NaN,17,17,0.5,12,81,83,7
20200326,20,果树场,89,良,细颗粒物(PM2.5),66,98,2.8,76,20,37,54
20200326,20,红旗广场,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,云冈宾馆,25,优,NaN,11,23,0.7,8,77,84,11
20200326,20,大同大学,22,优,NaN,8,22,0.5,14,70,76,8
20200326,20,安家小村,22,优,NaN,6,19,0.6,12,70,81,10
20200326,20,教育学院,28,优,NaN,6,28,0.5,15,65,77,12
20200326,20,供排水公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,果树场(对照点),25,优,NaN,7,16,0.4,9,80,86,12
20200326,20,红旗广场(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,第二人民医院(145搬迁启用200102),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,供排水公司(停运200102),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,大同市卫生学校(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,云冈站(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,图书馆(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,区一中(145),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,第二人民医院,23,优,NaN,5,17,0.6,14,71,82,9
20200326,21,果树场,89,良,细颗粒物(PM2.5),66,98,2.8,76,20,37,54
20200326,21,红旗广场,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,云冈宾馆,21,优,NaN,14,NaN,0.8,14,66,82,13
20200326,21,大同大学,21,优,NaN,11,NaN,0.6,14,66,75,10
