Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,振宁花园,23,优,NaN,16,20,1.0,21,10,11,5
20200402,08,北湖,25,优,NaN,17,24,0.9,27,7,7,7
20200402,08,市监测站,26,优,NaN,18,26,0.7,26,5,10,7
20200402,08,大自然花园,21,优,NaN,14,21,0.9,24,11,12,6
20200402,08,仙葫,20,优,NaN,12,20,0.8,17,14,14,7
20200402,08,区农职院,30,优,NaN,21,27,0.8,28,5,4,7
20200402,08,英华嘉园,23,优,NaN,16,21,0.7,26,10,9,7
20200402,08,沙井镇街道办,28,优,NaN,19,25,0.7,27,5,6,7
20200402,09,振宁花园,25,优,NaN,15,25,1.1,24,8,10,5
20200402,09,北湖,28,优,NaN,17,28,0.9,29,5,7,12
20200402,09,市监测站,32,优,NaN,15,32,0.7,28,6,9,10
20200402,09,大自然花园,19,优,NaN,13,18,0.9,22,15,12,7
20200402,09,仙葫,18,优,NaN,12,15,0.8,18,13,14,8
20200402,09,区农职院,28,优,NaN,19,24,0.8,28,4,4,7
20200402,09,英华嘉园,23,优,NaN,16,20,0.9,27,8,9,7
20200402,09,沙井镇街道办,25,优,NaN,17,22,0.7,26,5,5,8
20200402,10,振宁花园,24,优,NaN,14,24,1.1,26,10,10,6
20200402,10,北湖,26,优,NaN,16,26,0.9,28,11,8,9
20200402,10,市监测站,26,优,NaN,14,26,0.7,30,7,9,8
20200402,10,大自然花园,21,优,NaN,12,21,0.9,24,15,12,7
20200402,10,仙葫,24,优,NaN,12,24,0.8,24,7,13,7
20200402,10,区农职院,26,优,NaN,18,25,0.9,27,5,4,8
20200402,10,英华嘉园,25,优,NaN,17,23,0.8,29,8,9,8
20200402,10,沙井镇街道办,26,优,NaN,18,26,0.8,30,6,5,9
20200402,11,振宁花园,24,优,NaN,13,24,1.0,24,12,10,6
20200402,11,北湖,30,优,NaN,18,30,0.9,31,9,8,8
20200402,11,市监测站,30,优,NaN,16,30,0.7,28,9,9,9
20200402,11,大自然花园,25,优,NaN,12,25,0.9,20,19,12,NaN
20200402,11,仙葫,24,优,NaN,12,24,0.8,24,9,13,7
20200402,11,区农职院,28,优,NaN,18,28,0.9,26,5,4,8
20200402,11,英华嘉园,28,优,NaN,16,28,0.8,27,10,9,7
20200402,11,沙井镇街道办,30,优,NaN,17,30,0.8,29,8,6,10
20200402,12,振宁花园,27,优,NaN,14,27,1.1,24,13,10,6
20200402,12,北湖,40,优,NaN,26,40,0.9,34,8,8,7
20200402,12,市监测站,40,优,NaN,20,40,0.7,28,8,9,9
20200402,12,大自然花园,36,优,NaN,15,36,NaN,20,18,13,7
20200402,12,仙葫,32,优,NaN,12,32,0.8,18,14,12,8
20200402,12,区农职院,31,优,NaN,21,31,0.9,28,6,5,8
20200402,12,英华嘉园,32,优,NaN,16,32,0.7,27,10,10,7
20200402,12,沙井镇街道办,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,振宁花园,44,优,NaN,19,44,1.1,29,9,10,6
20200402,13,北湖,49,优,NaN,31,49,1.0,35,5,7,7
20200402,13,市监测站,52,良,颗粒物(PM10),26,54,0.8,30,6,8,8
20200402,13,大自然花园,42,优,NaN,19,42,1.0,28,11,13,8
20200402,13,仙葫,36,优,NaN,16,36,0.8,21,13,12,10
20200402,13,区农职院,34,优,NaN,18,34,0.9,20,5,5,7
20200402,13,英华嘉园,28,优,NaN,18,28,0.8,28,10,10,8
20200402,13,沙井镇街道办,45,优,NaN,23,45,0.8,31,6,6,8
20200402,14,振宁花园,39,优,NaN,20,39,1.2,27,6,9,5
20200402,14,北湖,NaN,,NaN,NaN,NaN,1.1,NaN,6,7,NaN
20200402,14,市监测站,38,优,NaN,21,38,0.9,26,6,7,8
20200402,14,大自然花园,39,优,NaN,24,39,1.1,28,8,13,8
20200402,14,仙葫,38,优,NaN,23,38,0.9,28,6,11,NaN
20200402,14,区农职院,19,优,NaN,13,18,0.9,18,10,6,6
20200402,14,英华嘉园,40,优,NaN,21,40,0.9,30,9,10,8
20200402,14,沙井镇街道办,38,优,NaN,23,38,0.9,27,6,6,10
20200402,15,振宁花园,29,优,NaN,16,29,1.3,26,7,9,6
20200402,15,北湖,34,优,NaN,20,34,NaN,29,NaN,7,8
20200402,15,市监测站,37,优,NaN,19,37,0.9,25,5,6,8
20200402,15,大自然花园,29,优,NaN,18,29,1.1,25,9,13,7
20200402,15,仙葫,45,优,NaN,22,45,NaN,NaN,6,10,8
20200402,15,区农职院,23,优,NaN,16,18,0.9,24,8,6,7
20200402,15,英华嘉园,32,优,NaN,21,32,0.9,29,8,9,8
20200402,15,沙井镇街道办,31,优,NaN,15,31,0.9,23,7,6,8
20200402,16,振宁花园,27,优,NaN,16,27,1.2,24,7,9,5
20200402,16,北湖,26,优,NaN,18,22,0.8,25,6,7,5
20200402,16,市监测站,29,优,NaN,20,29,0.9,22,6,7,6
20200402,16,大自然花园,26,优,NaN,18,NaN,1.1,24,9,13,7
20200402,16,仙葫,41,优,NaN,24,41,0.8,21,8,10,10
20200402,16,区农职院,25,优,NaN,17,23,0.8,25,8,6,8
20200402,16,英华嘉园,38,优,NaN,23,38,0.9,29,7,9,8
20200402,16,沙井镇街道办,35,优,NaN,23,35,1.0,27,8,7,9
20200402,17,振宁花园,29,优,NaN,19,29,1.2,24,6,9,5
20200402,17,北湖,38,优,NaN,26,32,0.8,26,7,7,9
20200402,17,市监测站,44,优,NaN,26,44,0.9,24,5,6,7
20200402,17,大自然花园,35,优,NaN,21,35,1.0,24,9,12,8
20200402,17,仙葫,37,优,NaN,21,37,0.8,19,10,9,8
20200402,17,区农职院,NaN,,NaN,NaN,NaN,0.9,NaN,5,6,NaN
20200402,17,英华嘉园,47,优,NaN,22,47,0.9,29,6,8,8
20200402,17,沙井镇街道办,51,良,颗粒物(PM10),21,52,1.0,28,6,7,8
20200402,18,振宁花园,36,优,NaN,20,36,1.1,24,8,8,5
20200402,18,北湖,42,优,NaN,29,35,0.8,29,6,7,8
20200402,18,市监测站,45,优,NaN,27,45,0.8,25,6,6,8
20200402,18,大自然花园,38,优,NaN,17,38,0.9,23,13,12,7
20200402,18,仙葫,30,优,NaN,21,27,0.8,21,11,10,7
20200402,18,区农职院,49,优,NaN,24,49,0.9,28,NaN,7,8
20200402,18,英华嘉园,44,优,NaN,20,44,0.8,27,9,9,8
20200402,18,沙井镇街道办,48,优,NaN,24,48,1.0,30,6,7,8
20200402,19,振宁花园,40,优,NaN,20,40,1.1,26,7,8,5
20200402,19,北湖,44,优,NaN,28,44,0.7,32,5,6,5
20200402,19,市监测站,40,优,NaN,24,40,0.7,24,9,6,5
20200402,19,大自然花园,30,优,NaN,21,30,1.0,27,12,11,6
20200402,19,仙葫,33,优,NaN,23,27,0.9,23,10,10,7
20200402,19,区农职院,50,优,NaN,24,50,NaN,32,4,7,8
20200402,19,英华嘉园,36,优,NaN,21,36,0.8,26,11,9,7
20200402,19,沙井镇街道办,47,优,NaN,23,47,0.8,29,5,6,8
20200402,20,振宁花园,40,优,NaN,21,40,1.1,26,8,7,5
20200402,20,北湖,40,优,NaN,28,35,0.8,29,6,6,5
20200402,20,市监测站,48,优,NaN,28,48,0.8,28,5,6,5
20200402,20,大自然花园,51,良,颗粒物(PM10),21,51,1.1,28,11,10,6
20200402,20,仙葫,29,优,NaN,20,24,0.9,23,11,9,7
20200402,20,区农职院,41,优,NaN,22,41,0.8,33,4,6,6
20200402,20,英华嘉园,37,优,NaN,22,37,0.8,29,8,8,7
20200402,20,沙井镇街道办,44,优,NaN,22,44,0.8,29,5,6,7
20200402,20,振宁花园,40,优,NaN,21,40,1.1,26,8,7,5
20200402,20,北湖,40,优,NaN,28,35,0.8,29,6,6,5
20200402,20,市监测站,48,优,NaN,28,48,0.8,28,5,6,5
20200402,20,大自然花园,51,良,颗粒物(PM10),21,51,1.1,28,11,10,6
20200402,20,仙葫,29,优,NaN,20,24,0.9,23,11,9,7
20200402,20,区农职院,41,优,NaN,22,41,0.8,33,4,6,6
20200402,20,英华嘉园,37,优,NaN,22,37,0.8,29,8,8,7
20200402,20,沙井镇街道办,44,优,NaN,22,44,0.8,29,5,6,7
20200402,22,振宁花园,34,优,NaN,19,34,1.1,26,7,8,5
20200402,22,北湖,45,优,NaN,31,42,0.9,31,4,6,7
20200402,22,市监测站,42,优,NaN,29,40,0.9,28,4,6,7
20200402,22,大自然花园,30,优,NaN,17,30,1.0,32,5,9,6
20200402,22,仙葫,22,优,NaN,15,18,0.8,29,8,10,7
20200402,22,区农职院,41,优,NaN,23,41,0.9,31,3,5,6
20200402,22,英华嘉园,32,优,NaN,19,32,0.8,28,12,8,8
20200402,22,沙井镇街道办,47,优,NaN,26,47,0.8,30,5,6,8
20200402,23,振宁花园,29,优,NaN,18,29,1.1,28,6,8,5
20200402,23,北湖,46,优,NaN,32,45,0.9,32,4,5,7
20200402,23,市监测站,45,优,NaN,26,45,0.9,27,4,6,8
20200402,23,大自然花园,23,优,NaN,16,23,1.0,33,6,9,6
20200402,23,仙葫,23,优,NaN,16,20,0.8,30,4,9,7
20200402,23,区农职院,39,优,NaN,24,39,1.0,30,3,4,7
20200402,23,英华嘉园,25,优,NaN,17,22,0.8,36,7,8,8
20200402,23,沙井镇街道办,45,优,NaN,26,45,0.9,30,5,6,8
20200403,00,振宁花园,28,优,NaN,18,28,1.2,28,5,7,5
20200403,00,北湖,46,优,NaN,32,40,0.9,32,4,5,8
20200403,00,市监测站,35,优,NaN,24,33,0.9,26,4,5,8
20200403,00,大自然花园,29,优,NaN,17,29,1.0,30,6,8,7
20200403,00,仙葫,22,优,NaN,15,20,0.8,20,12,10,7
20200403,00,区农职院,41,优,NaN,26,41,1.0,29,3,4,7
20200403,00,英华嘉园,26,优,NaN,18,25,0.8,35,5,8,8
20200403,00,沙井镇街道办,42,优,NaN,25,42,0.9,29,5,5,8
20200403,01,振宁花园,31,优,NaN,18,31,1.2,28,5,5,6
20200403,01,北湖,35,优,NaN,24,NaN,0.8,28,6,6,8
20200403,01,市监测站,32,优,NaN,22,27,0.8,27,4,4,8
20200403,01,大自然花园,23,优,NaN,16,21,1.0,23,14,14,8
20200403,01,仙葫,24,优,NaN,14,24,0.8,19,11,11,7
20200403,01,区农职院,52,良,颗粒物(PM10),26,53,1.0,28,3,3,7
20200403,01,英华嘉园,26,优,NaN,18,22,0.8,33,5,5,8
20200403,01,沙井镇街道办,41,优,NaN,27,41,1.0,31,4,4,9
20200403,02,振宁花园,22,优,NaN,15,18,1.1,23,9,7,6
20200403,02,北湖,33,优,NaN,23,NaN,0.8,30,4,5,8
20200403,02,市监测站,28,优,NaN,19,27,0.8,24,6,5,8
20200403,02,大自然花园,20,优,NaN,14,20,1.0,19,17,16,8
20200403,02,仙葫,19,优,NaN,13,17,0.8,17,11,11,7
20200403,02,区农职院,43,优,NaN,25,43,1.0,29,3,3,8
20200403,02,英华嘉园,23,优,NaN,16,22,0.8,32,5,5,8
20200403,02,沙井镇街道办,39,优,NaN,23,39,0.9,27,5,4,9
20200403,03,振宁花园,22,优,NaN,15,18,1.1,20,12,9,6
20200403,03,北湖,28,优,NaN,19,NaN,0.7,22,13,8,7
20200403,03,市监测站,22,优,NaN,15,17,0.7,19,12,7,7
20200403,03,大自然花园,20,优,NaN,14,19,0.9,17,18,16,8
20200403,03,仙葫,20,优,NaN,14,15,0.8,20,9,10,6
20200403,03,区农职院,36,优,NaN,21,36,0.9,29,3,3,8
20200403,03,英华嘉园,24,优,NaN,16,24,0.7,32,5,5,8
20200403,03,沙井镇街道办,35,优,NaN,22,35,0.8,27,6,5,10
20200403,03,振宁花园,22,优,NaN,15,18,1.1,20,12,9,6
20200403,03,北湖,28,优,NaN,19,NaN,0.7,22,13,8,7
20200403,03,市监测站,22,优,NaN,15,17,0.7,19,12,7,7
20200403,03,大自然花园,20,优,NaN,14,19,0.9,17,18,16,8
20200403,03,仙葫,20,优,NaN,14,15,0.8,20,9,10,6
20200403,03,区农职院,36,优,NaN,21,36,0.9,29,3,3,8
20200403,03,英华嘉园,24,优,NaN,16,24,0.7,32,5,5,8
20200403,03,沙井镇街道办,35,优,NaN,22,35,0.8,27,6,5,10
20200403,08,振宁花园,13,优,NaN,8,13,1.2,18,13,11,6
20200403,08,北湖,14,优,NaN,6,14,0.8,22,12,8,6
20200403,08,市监测站,11,优,NaN,7,10,0.8,21,10,9,6
20200403,08,大自然花园,12,优,NaN,8,NaN,1.0,18,16,16,7
20200403,08,仙葫,10,优,NaN,7,7,0.8,12,16,13,7
20200403,08,区农职院,23,优,NaN,16,20,0.9,26,3,3,7
20200403,08,英华嘉园,16,优,NaN,11,NaN,0.8,19,14,7,7
20200403,08,沙井镇街道办,24,优,NaN,14,24,0.8,25,6,5,8
20200403,09,振宁花园,12,优,NaN,8,8,1.2,19,11,11,6
20200403,09,北湖,13,优,NaN,6,7,0.8,25,9,8,6
20200403,09,市监测站,13,优,NaN,6,10,0.8,25,7,10,6
20200403,09,大自然花园,12,优,NaN,8,NaN,1.0,20,13,16,6
20200403,09,仙葫,10,优,NaN,6,8,0.9,20,11,13,7
20200403,09,区农职院,17,优,NaN,9,17,0.9,24,7,3,7
20200403,09,英华嘉园,16,优,NaN,11,NaN,0.8,23,10,8,7
20200403,09,沙井镇街道办,13,优,NaN,9,12,0.9,26,7,6,9
20200403,10,振宁花园,12,优,NaN,8,10,1.1,20,12,12,6
20200403,10,北湖,17,优,NaN,8,17,0.8,27,6,8,6
20200403,10,市监测站,13,优,NaN,8,NaN,0.8,25,6,10,6
20200403,10,大自然花园,10,优,NaN,7,NaN,1.0,19,21,16,6
20200403,10,仙葫,12,优,NaN,6,12,0.9,14,22,14,8
20200403,10,区农职院,13,优,NaN,8,10,0.9,26,7,4,7
20200403,10,英华嘉园,15,优,NaN,10,15,0.9,24,10,8,NaN
20200403,10,沙井镇街道办,20,优,NaN,8,20,0.8,27,7,6,8
20200403,11,振宁花园,12,优,NaN,8,12,1.2,21,16,12,6
20200403,11,北湖,13,优,NaN,7,10,0.8,25,15,8,6
20200403,11,市监测站,20,优,NaN,8,20,0.8,24,14,10,6
20200403,11,大自然花园,11,优,NaN,7,11,1.0,22,19,16,7
20200403,11,仙葫,11,优,NaN,6,7,1.0,22,14,15,8
