Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
20170816,16,日喀则监测站,22,优,NaN,6,18,0.4,2,70,58,7
20170816,16,日喀则鸿达公司,37,优,NaN,7,37,0.3,2,67,55,4
