Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,高压开关厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,新华旅馆,62,良,细颗粒物(PM2.5),44,68,1.1,27,52,37,13
20200402,08,规划设计院,68,良,细颗粒物(PM2.5),49,68,0.7,24,52,42,13
20200402,08,平顶山工学院,68,良,细颗粒物(PM2.5),49,84,0.8,35,20,33,17
20200402,08,规划局(20190304启用),NaN,轻度污染,细颗粒物(PM2.5),110,NaN,0.8,30,54,59,11
20200402,08,规划局,70,良,颗粒物(PM10),40,90,0.6,25,52,40,12
20200402,09,高压开关厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,新华旅馆,69,良,细颗粒物(PM2.5),50,80,1.0,25,59,40,14
20200402,09,规划设计院,64,良,细颗粒物(PM2.5),46,59,0.8,28,49,43,12
20200402,09,平顶山工学院,78,良,细颗粒物(PM2.5),57,95,0.8,33,24,31,14
20200402,09,规划局(20190304启用),NaN,轻度污染,细颗粒物(PM2.5),110,NaN,0.8,30,54,59,11
20200402,09,规划局,66,良,颗粒物(PM10),45,82,0.6,24,55,43,12
20200402,10,高压开关厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,新华旅馆,65,良,颗粒物(PM10),44,80,1.0,24,61,42,14
20200402,10,规划设计院,67,良,颗粒物(PM10),45,84,0.8,31,36,42,12
20200402,10,平顶山工学院,78,良,细颗粒物(PM2.5),57,86,0.8,31,29,28,16
20200402,10,规划局(20190304启用),NaN,轻度污染,细颗粒物(PM2.5),110,NaN,0.8,30,54,59,11
20200402,10,规划局,74,良,细颗粒物(PM2.5),54,67,0.7,33,35,42,12
20200402,11,高压开关厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,新华旅馆,70,良,细颗粒物(PM2.5),51,85,1.0,NaN,58,44,14
20200402,11,规划设计院,70,良,颗粒物(PM10),47,90,0.8,24,59,43,13
