Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,17,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,17,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,02,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,02,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,02,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,02,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,抱龙山庄,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,东山公园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
