Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,监测站,64,良,细颗粒物(PM2.5),46,NaN,1.0,30,36,37,8
20200402,08,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,开发区,74,良,细颗粒物(PM2.5),54,NaN,1.0,26,38,36,8
20200402,08,市一中,63,良,细颗粒物(PM2.5),45,47,1.0,25,36,34,8
20200402,09,监测站,67,良,细颗粒物(PM2.5),48,52,1.0,30,39,37,10
20200402,09,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,开发区,74,良,细颗粒物(PM2.5),54,NaN,1.0,27,41,36,9
20200402,09,市一中,67,良,细颗粒物(PM2.5),48,51,1.0,25,40,34,10
20200402,10,监测站,67,良,细颗粒物(PM2.5),48,50,1.0,31,44,37,9
20200402,10,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,开发区,77,良,细颗粒物(PM2.5),56,58,1.0,28,42,36,9
20200402,10,市一中,70,良,细颗粒物(PM2.5),51,56,0.9,24,46,35,10
20200402,11,监测站,70,良,细颗粒物(PM2.5),51,55,0.9,33,43,38,10
20200402,11,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,开发区,78,良,细颗粒物(PM2.5),57,57,0.9,29,43,37,10
20200402,11,市一中,74,良,细颗粒物(PM2.5),54,58,0.9,26,46,36,10
20200402,12,监测站,82,良,细颗粒物(PM2.5),60,60,1.0,35,45,40,10
20200402,12,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,开发区,83,良,细颗粒物(PM2.5),61,65,1.0,30,43,38,10
20200402,12,市一中,79,良,细颗粒物(PM2.5),58,68,1.0,29,46,38,11
20200402,13,监测站,87,良,细颗粒物(PM2.5),64,65,1.0,38,44,41,10
20200402,13,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,开发区,90,良,细颗粒物(PM2.5),67,68,0.9,28,50,40,10
20200402,13,市一中,82,良,细颗粒物(PM2.5),60,68,1.0,30,46,41,10
20200402,14,监测站,89,良,细颗粒物(PM2.5),66,70,1.0,38,54,43,11
20200402,14,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,开发区,97,良,细颗粒物(PM2.5),72,76,0.9,27,62,44,10
20200402,14,市一中,90,良,细颗粒物(PM2.5),67,80,0.9,30,57,44,10
20200402,15,监测站,84,良,细颗粒物(PM2.5),62,76,1.1,46,46,44,13
20200402,15,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,开发区,97,良,细颗粒物(PM2.5),72,79,0.9,33,60,47,10
20200402,15,市一中,93,良,细颗粒物(PM2.5),69,82,1.0,39,49,46,14
20200402,16,监测站,85,良,细颗粒物(PM2.5),63,77,1.0,48,49,46,12
20200402,16,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,开发区,102,轻度污染,细颗粒物(PM2.5),76,84,1.0,40,56,50,13
20200402,16,市一中,90,良,细颗粒物(PM2.5),67,86,1.0,40,52,48,14
20200402,17,监测站,87,良,细颗粒物(PM2.5),64,75,1.0,41,58,48,10
20200402,17,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,开发区,104,轻度污染,细颗粒物(PM2.5),78,85,1.0,41,57,52,11
20200402,17,市一中,90,良,细颗粒物(PM2.5),67,80,1.0,34,60,50,10
20200402,18,监测站,93,良,细颗粒物(PM2.5),69,77,1.1,38,62,50,11
20200402,18,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,开发区,105,轻度污染,细颗粒物(PM2.5),79,80,1.0,39,58,54,10
20200402,18,市一中,98,良,细颗粒物(PM2.5),73,86,1.0,31,63,52,10
20200402,19,监测站,94,良,细颗粒物(PM2.5),70,80,1.1,36,62,52,11
20200402,19,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,开发区,110,轻度污染,细颗粒物(PM2.5),83,87,1.1,35,58,56,9
20200402,19,市一中,100,良,细颗粒物(PM2.5),75,87,1.1,27,65,55,10
20200402,20,监测站,94,良,细颗粒物(PM2.5),70,83,1.1,36,54,54,10
20200402,20,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,开发区,114,轻度污染,细颗粒物(PM2.5),86,NaN,1.1,31,57,57,9
20200402,20,市一中,103,轻度污染,细颗粒物(PM2.5),77,91,1.1,29,57,56,13
20200402,20,监测站,94,良,细颗粒物(PM2.5),70,83,1.1,36,54,54,10
20200402,20,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,开发区,114,轻度污染,细颗粒物(PM2.5),86,NaN,1.1,31,57,57,9
20200402,20,市一中,103,轻度污染,细颗粒物(PM2.5),77,91,1.1,29,57,56,13
20200402,22,监测站,93,良,细颗粒物(PM2.5),69,79,1.1,40,39,53,9
20200402,22,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,开发区,115,轻度污染,细颗粒物(PM2.5),87,90,1.0,34,39,55,7
20200402,22,市一中,104,轻度污染,细颗粒物(PM2.5),78,93,1.1,33,35,54,9
20200402,23,监测站,98,良,细颗粒物(PM2.5),73,87,1.1,38,37,52,39
20200402,23,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,开发区,118,轻度污染,细颗粒物(PM2.5),89,NaN,1.0,36,32,51,10
20200402,23,市一中,NaN,,NaN,NaN,NaN,1.1,36,34,52,22
20200403,00,监测站,NaN,,NaN,NaN,NaN,1.1,43,27,49,29
20200403,00,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,开发区,NaN,,NaN,NaN,NaN,1.2,57,NaN,44,7
20200403,00,市一中,133,轻度污染,细颗粒物(PM2.5),101,132,1.3,40,23,48,20
20200403,01,监测站,109,轻度污染,细颗粒物(PM2.5),82,NaN,1.3,57,9,9,16
