Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,自来水公司,26,优,NaN,NaN,26,0.5,16,71,69,3
20200326,18,白云商贸,22,优,NaN,6,20,0.9,16,70,64,3
20200326,18,市环保局,33,优,NaN,2,33,0.9,19,68,66,11
20200326,18,技术学院,35,优,NaN,NaN,35,0.6,20,68,68,5
20200326,18,泽州一中,36,优,NaN,6,36,1.2,17,75,66,4
20200326,18,白马寺,31,优,NaN,NaN,31,1.3,8,61,57,5
20200326,20,自来水公司,39,优,NaN,8,39,0.6,21,55,65,1
20200326,20,白云商贸,36,优,NaN,5,36,0.8,17,56,61,3
20200326,20,市环保局,22,优,NaN,NaN,22,1.0,23,53,61,11
20200326,20,技术学院,29,优,NaN,6,29,0.6,22,58,64,6
20200326,20,泽州一中,38,优,NaN,NaN,38,1.1,18,60,64,4
20200326,20,白马寺,30,优,NaN,NaN,30,1.1,11,43,52,3
20200326,21,自来水公司,39,优,NaN,6,39,0.8,20,50,63,1
20200326,21,白云商贸,43,优,NaN,5,43,0.8,18,48,59,3
20200326,21,市环保局,23,优,NaN,NaN,23,1.3,24,47,59,11
20200326,21,技术学院,39,优,NaN,7,39,1.0,26,47,62,7
20200326,21,泽州一中,34,优,NaN,7,34,1.1,19,52,62,4
20200326,21,白马寺,32,优,NaN,NaN,32,1.0,8,46,51,2
20200327,10,自来水公司,39,优,NaN,27,35,0.4,14,52,46,3
20200327,10,白云商贸,52,良,颗粒物(PM10),34,54,0.7,11,50,44,3
20200327,10,市环保局,42,优,NaN,29,36,0.8,12,54,45,10
20200327,10,技术学院,52,良,颗粒物(PM10),30,53,0.6,10,57,48,6
20200327,10,泽州一中,40,优,NaN,27,40,1.0,15,55,44,4
20200327,10,白马寺,41,优,NaN,3,41,0.9,6,47,39,5
20200327,11,自来水公司,42,优,NaN,22,42,0.5,15,56,47,1
20200327,11,白云商贸,51,良,颗粒物(PM10),26,51,0.8,12,54,45,1
20200327,11,市环保局,47,优,NaN,16,47,0.8,13,56,47,12
20200327,11,技术学院,49,优,NaN,26,49,0.6,12,60,50,7
20200327,11,泽州一中,39,优,NaN,27,38,1.0,17,56,46,6
20200327,11,白马寺,61,良,颗粒物(PM10),19,71,1.1,8,45,40,5
20200327,12,自来水公司,40,优,NaN,28,40,0.6,16,58,49,1
20200327,12,白云商贸,69,良,颗粒物(PM10),22,87,0.8,14,55,47,1
20200327,12,市环保局,48,优,NaN,16,48,0.9,16,57,49,12
20200327,12,技术学院,51,良,颗粒物(PM10),17,52,0.7,15,60,52,8
20200327,12,泽州一中,50,优,NaN,23,50,1.1,19,58,48,6
20200327,12,白马寺,36,优,NaN,20,36,1.3,9,48,42,6
20200327,13,自来水公司,57,良,细颗粒物(PM2.5),40,46,0.7,18,59,52,1
20200327,13,白云商贸,62,良,颗粒物(PM10),30,74,1.0,14,59,50,3
20200327,13,市环保局,67,良,颗粒物(PM10),31,84,1.0,16,60,52,10
20200327,13,技术学院,64,良,颗粒物(PM10),25,78,0.8,16,61,55,6
20200327,13,泽州一中,52,良,颗粒物(PM10),34,54,1.2,19,63,51,5
20200327,13,白马寺,64,良,颗粒物(PM10),21,77,1.2,9,51,45,7
20200327,14,自来水公司,49,优,NaN,34,41,0.9,18,68,56,3
20200327,14,白云商贸,60,良,颗粒物(PM10),33,70,1.0,14,66,54,1
20200327,14,市环保局,50,优,NaN,35,37,1.2,18,66,55,11
20200327,14,技术学院,60,良,颗粒物(PM10),33,69,1.1,18,68,58,8
20200327,14,泽州一中,55,良,颗粒物(PM10),36,59,1.2,21,67,54,5
20200327,14,白马寺,56,良,颗粒物(PM10),26,61,1.3,9,61,49,10
20200327,14,自来水公司,49,优,NaN,34,41,0.9,18,68,56,3
20200327,14,白云商贸,60,良,颗粒物(PM10),33,70,1.0,14,66,54,1
20200327,14,市环保局,50,优,NaN,35,37,1.2,18,66,55,11
20200327,14,技术学院,60,良,颗粒物(PM10),33,69,1.1,18,68,58,8
20200327,14,泽州一中,55,良,颗粒物(PM10),36,59,1.2,21,67,54,5
20200327,14,白马寺,56,良,颗粒物(PM10),26,61,1.3,9,61,49,10
20200327,15,自来水公司,46,优,NaN,32,44,0.9,21,68,58,5
20200327,15,白云商贸,61,良,颗粒物(PM10),35,72,1.0,16,65,55,3
20200327,15,市环保局,50,优,NaN,35,47,1.1,22,NaN,54,15
20200327,15,技术学院,71,良,颗粒物(PM10),34,92,0.9,21,65,58,11
20200327,15,泽州一中,61,良,颗粒物(PM10),32,71,1.2,22,68,56,7
20200327,15,白马寺,46,优,NaN,16,46,1.1,6,76,54,10
20200327,16,自来水公司,62,良,颗粒物(PM10),31,74,0.6,22,60,58,5
20200327,16,白云商贸,67,良,颗粒物(PM10),37,84,0.8,16,54,55,1
20200327,16,市环保局,63,良,颗粒物(PM10),29,76,0.9,22,NaN,56,15
20200327,16,技术学院,68,良,颗粒物(PM10),34,85,0.7,20,64,60,13
20200327,16,泽州一中,68,良,颗粒物(PM10),29,85,1.0,22,56,58,5
20200327,16,白马寺,53,良,颗粒物(PM10),18,55,1.0,12,58,55,9
20200327,17,自来水公司,58,良,颗粒物(PM10),34,66,0.5,22,59,60,3
20200327,17,白云商贸,71,良,颗粒物(PM10),34,91,0.8,18,53,57,1
20200327,17,市环保局,65,良,颗粒物(PM10),38,79,0.9,21,58,58,13
20200327,17,技术学院,70,良,颗粒物(PM10),29,89,0.6,21,60,62,10
20200327,17,泽州一中,65,良,颗粒物(PM10),37,79,1.0,26,54,60,6
20200327,17,白马寺,59,良,颗粒物(PM10),28,68,1.0,14,48,54,7
20200330,08,自来水公司,122,轻度污染,细颗粒物(PM2.5),92,131,0.9,34,30,46,1
