Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,区政府,25,优,NaN,NaN,16,0.3,9,77,67,1
20200326,18,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,聊大东校,25,优,NaN,5,17,0.2,7,78,66,2
20200326,18,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200326,18,监控中心,23,优,NaN,NaN,3,0.4,6,73,67,3
20200326,20,区政府,25,优,NaN,2,7,0.3,8,77,73,2
20200326,20,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,聊大东校,24,优,NaN,5,6,0.2,8,75,72,2
20200326,20,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200326,20,监控中心,24,优,NaN,7,NaN,0.3,6,74,72,3
20200326,21,区政府,21,优,NaN,3,7,0.3,11,66,73,2
20200326,21,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,聊大东校,20,优,NaN,8,12,0.2,11,64,71,2
20200326,21,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200326,21,监控中心,20,优,NaN,5,8,0.3,10,61,71,3
20200327,10,区政府,55,良,颗粒物(PM10),8,59,0.2,12,71,57,2
20200327,10,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,聊大东校,53,良,颗粒物(PM10),9,55,0.2,8,75,53,3
20200327,10,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200327,10,监控中心,45,优,NaN,5,45,0.3,8,68,49,4
20200327,11,区政府,52,良,颗粒物(PM10),11,53,0.2,7,81,62,2
20200327,11,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,聊大东校,52,良,颗粒物(PM10),7,53,0.2,6,83,60,2
20200327,11,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200327,11,监控中心,36,优,NaN,NaN,36,0.3,7,74,53,4
20200327,12,区政府,41,优,NaN,6,41,0.2,6,88,66,2
20200327,12,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,聊大东校,39,优,NaN,5,39,0.2,5,87,64,2
20200327,12,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200327,12,监控中心,25,优,NaN,NaN,25,0.3,5,80,57,3
20200327,13,区政府,33,优,NaN,NaN,33,0.2,6,88,70,2
20200327,13,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,聊大东校,38,优,NaN,3,38,0.2,5,87,68,2
20200327,13,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200327,13,监控中心,27,优,NaN,NaN,14,0.3,4,85,62,3
20200327,14,区政府,29,优,NaN,NaN,24,0.2,5,92,74,2
20200327,14,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,聊大东校,29,优,NaN,1,25,0.2,5,90,73,2
20200327,14,二轻机（已停运）,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,监控中心(20190222启用),NaN,严重污染,细颗粒物(PM2.5),311,NaN,NaN,82,15,13,16
20200327,14,监控中心,27,优,NaN,NaN,18,0.3,5,86,67,3
20200327,14,区政府,29,优,NaN,NaN,24,0.2,5,92,74,2
20200327,14,二轻机,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
