Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200326,19,飞宇,27,优,NaN,11,27,0.2,10,82,85,6
20200326,19,第二水厂,32,优,NaN,22,32,0.8,16,73,78,22
20200326,19,市气象局,57,良,细颗粒物(PM2.5),40,51,1.3,27,49,57,37
20200326,19,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,北岗(对照点),22,优,NaN,10,14,0.2,6,68,67,5
20200326,19,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200326,19,新钢沁园村,28,优,NaN,17,28,0.5,17,86,90,27
20200326,20,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200326,20,飞宇,26,优,NaN,14,26,0.2,10,70,87,8
20200326,20,第二水厂,30,优,NaN,18,30,0.9,21,64,80,20
20200326,20,市气象局,50,优,NaN,31,50,0.7,14,67,61,8
20200326,20,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,北岗(对照点),17,优,NaN,11,16,0.2,10,53,68,5
20200326,20,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200326,20,新钢沁园村,29,优,NaN,17,29,0.7,27,65,90,37
20200327,10,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,10,飞宇,26,优,NaN,13,26,0.6,14,38,59,12
20200327,10,第二水厂,25,优,NaN,12,25,0.9,19,42,57,12
20200327,10,市气象局,25,优,NaN,17,25,0.7,18,41,52,7
20200327,10,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,北岗(对照点),26,优,NaN,17,26,0.6,11,28,39,6
20200327,10,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,10,新钢沁园村,24,优,NaN,12,24,0.8,19,45,62,9
20200327,11,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,11,飞宇,26,优,NaN,16,26,0.6,15,33,59,13
20200327,11,第二水厂,27,优,NaN,15,27,0.9,20,31,56,10
20200327,11,市气象局,26,优,NaN,15,26,0.8,18,30,53,8
20200327,11,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,北岗(对照点),25,优,NaN,17,25,0.6,16,24,38,6
20200327,11,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,11,新钢沁园村,28,优,NaN,19,27,0.9,20,33,61,9
20200327,12,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,12,飞宇,29,优,NaN,13,29,0.5,16,32,59,13
20200327,12,第二水厂,26,优,NaN,18,25,0.8,20,30,55,12
20200327,12,市气象局,28,优,NaN,9,28,0.7,19,28,53,9
20200327,12,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,北岗(对照点),21,优,NaN,13,21,0.6,16,23,39,7
20200327,12,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,12,新钢沁园村,30,优,NaN,17,30,0.9,22,30,60,13
20200327,13,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,13,飞宇,26,优,NaN,13,26,0.4,19,33,57,16
20200327,13,第二水厂,28,优,NaN,14,28,0.7,22,28,54,15
20200327,13,市气象局,34,优,NaN,13,34,0.7,21,26,52,11
20200327,13,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,北岗(对照点),21,优,NaN,14,21,0.4,19,26,39,12
20200327,13,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,13,新钢沁园村,31,优,NaN,14,31,0.8,26,28,58,16
20200327,14,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,14,飞宇,27,优,NaN,15,27,0.4,18,38,50,17
20200327,14,第二水厂,25,优,NaN,12,25,0.6,26,29,46,17
20200327,14,市气象局,38,优,NaN,16,38,0.6,21,32,46,11
20200327,14,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,北岗(对照点),22,优,NaN,14,22,0.4,18,30,35,11
20200327,14,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,14,新钢沁园村,34,优,NaN,13,34,0.7,25,33,50,16
20200327,15,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,15,飞宇,31,优,NaN,15,31,0.3,21,NaN,45,13
20200327,15,第二水厂,35,优,NaN,11,35,0.6,26,30,40,16
20200327,15,市气象局,38,优,NaN,20,38,0.6,22,32,40,10
20200327,15,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,北岗(对照点),23,优,NaN,16,23,0.4,17,34,33,10
20200327,15,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,15,新钢沁园村,32,优,NaN,13,32,0.7,24,35,44,15
20200327,17,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200327,17,飞宇,NaN,,NaN,NaN,NaN,NaN,17,45,37,12
20200327,17,第二水厂,38,优,NaN,15,38,0.6,20,37,33,13
20200327,17,市气象局,30,优,NaN,14,30,0.6,22,36,33,7
20200327,17,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,北岗(对照点),26,优,NaN,15,26,0.4,17,33,29,8
20200327,17,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200327,17,新钢沁园村,26,优,NaN,11,26,0.6,23,39,35,10
20200330,11,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200330,11,飞宇,35,优,NaN,16,35,0.4,10,49,37,10
20200330,11,第二水厂,31,优,NaN,16,31,0.8,17,42,33,10
20200330,11,市气象局,29,优,NaN,20,24,1.3,17,41,34,5
20200330,11,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,北岗(对照点),27,优,NaN,17,27,0.4,12,33,26,4
20200330,11,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200330,11,新钢沁园村,29,优,NaN,16,29,0.4,17,44,35,5
20200330,11,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
20200330,11,飞宇,35,优,NaN,16,35,0.4,10,49,37,10
20200330,11,第二水厂,31,优,NaN,16,31,0.8,17,42,33,10
20200330,11,市气象局,29,优,NaN,20,24,1.3,17,41,34,5
20200330,11,新钢氧气厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,北岗(对照点),27,优,NaN,17,27,0.4,12,33,26,4
20200330,11,新钢沁园村(20190301启用),23,优,NaN,7,16,1.4,45,7,17,9
20200330,11,新钢沁园村,29,优,NaN,16,29,0.4,17,44,35,5
20200330,13,北岗,56,良,颗粒物(PM10),27,61,1.2,20,26,17,23
