Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,涂山街,36,优,NaN,20,36,0.4,16,52,74,3
20200326,18,津头埔,32,优,NaN,12,32,0.7,24,54,70,5
20200326,18,万安,37,优,NaN,9,37,0.8,19,57,80,4
20200326,18,清源山,37,优,NaN,21,37,0.3,13,66,78,6
20200326,20,涂山街,28,优,NaN,19,NaN,0.4,17,59,69,4
20200326,20,津头埔,23,优,NaN,13,23,0.7,19,64,70,4
20200326,20,万安,41,优,NaN,11,41,0.8,29,38,76,4
20200326,20,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,涂山街,26,优,NaN,18,NaN,0.4,15,71,66,3
20200326,21,津头埔,20,优,NaN,12,NaN,0.7,24,64,67,4
20200326,21,万安,19,优,NaN,5,8,0.6,19,60,72,3
20200326,21,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN
20200327,10,涂山街,42,优,NaN,29,37,0.4,17,33,18,3
20200327,10,津头埔,42,优,NaN,28,42,0.7,22,26,20,5
20200327,10,万安,47,优,NaN,26,47,0.8,28,16,10,4
20200327,10,清源山,35,优,NaN,24,30,0.3,11,32,43,5
20200327,11,涂山街,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.4,21,37,20,4
20200327,11,津头埔,55,良,细颗粒物(PM2.5),39,55,0.7,25,36,18,6
20200327,11,万安,51,良,颗粒物(PM10),33,52,0.7,27,32,12,5
20200327,11,清源山,48,优,NaN,33,40,0.3,16,46,45,6
20200327,12,涂山街,55,良,颗粒物(PM10),38,59,0.4,26,42,24,5
20200327,12,津头埔,59,良,颗粒物(PM10),41,68,0.8,31,37,21,6
20200327,12,万安,57,良,颗粒物(PM10),37,63,0.8,29,48,16,5
20200327,12,清源山,60,良,细颗粒物(PM2.5),43,66,0.4,24,55,45,8
20200327,13,涂山街,64,良,颗粒物(PM10),42,78,0.5,31,59,30,7
20200327,13,津头埔,64,良,颗粒物(PM10),43,78,0.8,34,59,28,8
20200327,13,万安,61,良,颗粒物(PM10),33,71,0.8,31,62,24,6
20200327,13,清源山,66,良,颗粒物(PM10),41,82,0.4,30,65,47,14
20200327,14,涂山街,75,良,颗粒物(PM10),49,100,0.6,44,92,40,9
20200327,14,津头埔,76,良,颗粒物(PM10),50,101,0.8,44,103,40,11
20200327,14,万安,67,良,颗粒物(PM10),40,84,0.9,32,110,37,6
20200327,14,清源山,72,良,颗粒物(PM10),43,93,0.4,32,101,53,14
20200327,15,涂山街,65,良,颗粒物(PM10),45,80,0.5,30,141,56,5
20200327,15,津头埔,61,良,颗粒物(PM10),40,71,0.7,28,143,56,NaN
20200327,15,万安,66,良,颗粒物(PM10),33,81,0.8,20,143,54,5
20200327,15,清源山,68,良,颗粒物(PM10),43,86,0.4,27,142,64,10
20200327,17,涂山街,30,优,NaN,18,30,0.3,19,69,71,4
20200327,17,津头埔,22,优,NaN,11,22,NaN,18,49,65,5
20200327,17,万安,30,优,NaN,11,30,0.7,13,79,73,4
20200327,17,清源山,35,优,NaN,15,35,0.3,13,96,82,7
20200330,10,涂山街,22,优,NaN,15,NaN,0.5,21,24,29,3
20200330,10,津头埔,18,优,NaN,12,NaN,0.4,28,15,23,4
20200330,10,万安,18,优,NaN,12,13,0.3,23,22,23,4
20200330,10,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,涂山街,20,优,NaN,14,NaN,0.4,20,27,29,3
20200330,11,津头埔,15,优,NaN,10,13,0.4,26,19,22,4
20200330,11,万安,22,优,NaN,12,22,0.3,27,16,21,4
20200330,11,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,涂山街,28,优,NaN,19,NaN,0.5,31,14,25,3
20200330,13,津头埔,22,优,NaN,15,18,0.4,36,9,18,4
20200330,13,万安,22,优,NaN,11,22,0.4,25,16,19,4
20200330,13,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,涂山街,25,优,NaN,17,NaN,0.5,28,15,22,3
20200330,14,津头埔,19,优,NaN,13,14,0.4,34,9,14,4
20200330,14,万安,17,优,NaN,10,17,0.3,26,17,19,4
20200330,14,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,涂山街,25,优,NaN,17,NaN,0.5,28,15,22,3
20200330,14,津头埔,19,优,NaN,13,14,0.4,34,9,14,4
20200330,14,万安,17,优,NaN,10,17,0.3,26,17,19,4
20200330,14,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,涂山街,18,优,NaN,12,NaN,0.6,31,16,19,3
20200330,16,津头埔,18,优,NaN,9,NaN,0.5,36,12,12,4
20200330,16,万安,16,优,NaN,8,16,0.5,29,26,19,4
20200330,16,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,涂山街,18,优,NaN,12,NaN,0.6,31,16,19,3
20200330,16,津头埔,18,优,NaN,9,NaN,0.5,36,12,12,4
20200330,16,万安,16,优,NaN,8,16,0.5,29,26,19,4
20200330,16,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,17,涂山街,19,优,NaN,13,NaN,0.6,33,24,19,2
20200330,17,津头埔,18,优,NaN,8,9,0.5,35,25,14,4
20200330,17,万安,14,优,NaN,5,11,0.4,23,44,22,3
20200330,17,清源山,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,18,涂山街,16,优,NaN,11,NaN,0.5,31,32,20,2
20200330,18,津头埔,16,优,NaN,6,6,0.4,31,34,16,4
