Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200326,18,牛耳桥,64,良,细颗粒物(PM2.5),46,76,0.7,29,132,103,7
20200326,18,市第三水厂,63,良,颗粒物(PM10),44,76,0.7,29,136,106,8
20200326,18,市监测站,68,良,细颗粒物(PM2.5),49,72,0.6,30,141,112,4
20200326,18,花湖湾,68,良,细颗粒物(PM2.5),49,74,0.7,27,149,114,6
20200326,20,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200326,20,牛耳桥,61,良,颗粒物(PM10),40,71,0.7,29,89,120,7
20200326,20,市第三水厂,62,良,颗粒物(PM10),40,74,0.7,29,90,124,8
20200326,20,市监测站,62,良,颗粒物(PM10),42,74,0.6,29,96,129,1
20200326,20,花湖湾,60,良,颗粒物(PM10),42,70,0.7,30,100,136,7
20200326,21,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200326,21,牛耳桥,75,良,颗粒物(PM10),45,99,0.6,33,59,118,8
20200326,21,市第三水厂,80,良,颗粒物(PM10),43,109,0.6,34,59,121,8
20200326,21,市监测站,79,良,颗粒物(PM10),48,108,0.5,32,64,126,5
20200326,21,花湖湾,73,良,颗粒物(PM10),46,96,0.6,34,67,133,7
20200327,10,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,10,牛耳桥,34,优,NaN,5,34,0.5,24,46,52,4
20200327,10,市第三水厂,29,优,NaN,13,29,0.5,24,48,58,5
20200327,10,市监测站,24,优,NaN,14,24,0.4,18,57,57,1
20200327,10,花湖湾,23,优,NaN,12,23,0.4,22,49,50,3
20200327,11,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,11,牛耳桥,33,优,NaN,6,33,0.5,28,43,52,4
20200327,11,市第三水厂,28,优,NaN,12,28,0.4,23,54,58,5
20200327,11,市监测站,26,优,NaN,16,26,0.4,25,45,56,3
20200327,11,花湖湾,25,优,NaN,14,25,0.4,38,26,48,3
20200327,12,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,12,牛耳桥,34,优,NaN,8,34,0.5,24,48,52,4
20200327,12,市第三水厂,28,优,NaN,12,28,0.4,19,61,59,5
20200327,12,市监测站,28,优,NaN,17,28,0.4,22,47,56,3
20200327,12,花湖湾,29,优,NaN,17,29,0.5,20,45,49,3
20200327,13,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,13,牛耳桥,34,优,NaN,17,34,0.4,21,56,53,4
20200327,13,市第三水厂,34,优,NaN,14,34,0.5,21,58,59,5
20200327,13,市监测站,29,优,NaN,18,29,0.4,20,56,57,1
20200327,13,花湖湾,26,优,NaN,15,26,0.4,18,55,51,4
20200327,14,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,14,牛耳桥,38,优,NaN,20,38,0.4,17,71,56,5
20200327,14,市第三水厂,38,优,NaN,16,38,0.4,13,80,63,5
20200327,14,市监测站,31,优,NaN,19,31,0.4,14,75,60,2
20200327,14,花湖湾,30,优,NaN,18,30,0.4,14,74,54,4
20200327,14,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,14,牛耳桥,38,优,NaN,20,38,0.4,17,71,56,5
20200327,14,市第三水厂,38,优,NaN,16,38,0.4,13,80,63,5
20200327,14,市监测站,31,优,NaN,19,31,0.4,14,75,60,2
20200327,14,花湖湾,30,优,NaN,18,30,0.4,14,74,54,4
20200327,15,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,15,牛耳桥,44,优,NaN,24,44,0.4,14,76,58,5
20200327,15,市第三水厂,42,优,NaN,20,42,0.4,12,84,65,5
20200327,15,市监测站,36,优,NaN,24,36,0.4,13,80,62,1
20200327,15,花湖湾,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN
20200327,17,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200327,17,牛耳桥,45,优,NaN,24,45,0.4,16,80,62,5
20200327,17,市第三水厂,40,优,NaN,20,40,0.4,14,87,70,5
20200327,17,市监测站,38,优,NaN,26,35,0.4,14,85,66,1
20200327,17,花湖湾,39,优,NaN,25,39,NaN,12,89,61,4
20200330,10,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,10,牛耳桥,39,优,NaN,27,39,0.7,16,23,14,5
20200330,10,市第三水厂,45,优,NaN,30,45,0.6,NaN,25,16,NaN
20200330,10,市监测站,65,良,细颗粒物(PM2.5),47,62,0.6,20,22,14,1
20200330,10,花湖湾,50,优,NaN,35,43,0.7,NaN,20,9,58
20200330,10,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,10,牛耳桥,39,优,NaN,27,39,0.7,16,23,14,5
20200330,10,市第三水厂,45,优,NaN,30,45,0.6,NaN,25,16,NaN
20200330,10,市监测站,65,良,细颗粒物(PM2.5),47,62,0.6,20,22,14,1
20200330,10,花湖湾,50,优,NaN,35,43,0.7,NaN,20,9,58
20200330,11,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,11,牛耳桥,36,优,NaN,24,36,0.7,12,35,17,5
20200330,11,市第三水厂,38,优,NaN,25,38,NaN,11,35,19,2
20200330,11,市监测站,38,优,NaN,26,35,0.5,14,34,17,2
20200330,11,花湖湾,39,优,NaN,27,33,NaN,13,NaN,10,4
20200330,13,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,13,牛耳桥,41,优,NaN,28,41,0.7,12,52,26,5
20200330,13,市第三水厂,NaN,,NaN,NaN,NaN,0.4,12,52,25,1
20200330,13,市监测站,40,优,NaN,28,37,0.5,12,57,28,2
20200330,13,花湖湾,42,优,NaN,29,35,0.4,10,55,23,4
20200330,13,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,13,牛耳桥,41,优,NaN,28,41,0.7,12,52,26,5
20200330,13,市第三水厂,NaN,,NaN,NaN,NaN,0.4,12,52,25,1
20200330,13,市监测站,40,优,NaN,28,37,0.5,12,57,28,2
20200330,13,花湖湾,42,优,NaN,29,35,0.4,10,55,23,4
20200330,14,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
20200330,14,牛耳桥,36,优,NaN,25,33,0.6,11,73,34,5
20200330,14,市第三水厂,34,优,NaN,23,34,0.4,10,77,34,1
20200330,14,市监测站,30,优,NaN,21,29,0.5,11,74,36,1
20200330,14,花湖湾,36,优,NaN,25,29,0.4,9,73,33,4
20200330,16,乐山大佛景区,45,优,NaN,17,37,0.4,8,143,70,3
