Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,明珠广场,24,优,NaN,13,18,0.6,29,76,41,5
20200326,18,三里街,33,优,NaN,23,29,0.7,57,26,23,2
20200326,18,琥珀山庄,44,优,NaN,18,44,1.3,48,42,40,1
20200326,18,董铺水库,21,优,NaN,14,15,0.8,10,65,38,4
20200326,18,长江中路,29,优,NaN,20,NaN,0.7,37,63,38,6
20200326,18,庐阳区,32,优,NaN,17,32,0.6,43,43,25,6
20200326,18,瑶海区,29,优,NaN,18,29,0.8,47,40,44,6
20200326,18,包河区,41,优,NaN,22,40,0.8,82,NaN,35,34
20200326,18,滨湖新区,27,优,NaN,12,22,0.7,54,35,35,6
20200326,18,高新区,23,优,NaN,14,16,0.9,20,72,47,8
20200326,20,明珠广场,48,优,NaN,33,NaN,0.7,37,21,51,4
20200326,20,三里街,35,优,NaN,24,NaN,0.7,40,3,25,2
20200326,20,琥珀山庄,40,优,NaN,28,NaN,1.3,36,16,43,3
20200326,20,董铺水库,54,良,颗粒物(PM10),34,58,1.0,22,14,37,4
20200326,20,长江中路,46,优,NaN,32,33,0.8,40,18,42,5
20200326,20,庐阳区,60,良,细颗粒物(PM2.5),43,56,0.9,36,7,26,8
20200326,20,瑶海区,52,良,细颗粒物(PM2.5),36,36,0.9,39,10,44,6
20200326,20,包河区,28,优,NaN,19,27,0.8,54,10,38,NaN
20200326,20,滨湖新区,32,优,NaN,12,24,0.7,64,16,42,6
20200326,20,高新区,89,良,细颗粒物(PM2.5),66,66,1.0,28,17,50,7
20200326,21,明珠广场,54,良,细颗粒物(PM2.5),38,NaN,0.7,34,10,52,5
20200326,21,三里街,58,良,细颗粒物(PM2.5),41,NaN,0.7,30,8,24,2
20200326,21,琥珀山庄,50,优,NaN,35,NaN,1.3,31,12,42,3
20200326,21,董铺水库,57,良,细颗粒物(PM2.5),40,NaN,1.0,20,14,36,4
20200326,21,长江中路,59,良,细颗粒物(PM2.5),42,NaN,0.8,34,10,42,5
20200326,21,庐阳区,79,良,细颗粒物(PM2.5),58,NaN,0.7,29,14,25,7
20200326,21,瑶海区,58,良,细颗粒物(PM2.5),41,NaN,0.9,31,9,42,5
20200326,21,包河区,53,良,细颗粒物(PM2.5),37,48,0.8,46,6,34,3
20200326,21,滨湖新区,36,优,NaN,19,36,0.8,48,8,38,6
20200326,21,高新区,46,优,NaN,32,NaN,1.0,27,12,48,7
20200327,10,明珠广场,18,优,NaN,10,NaN,0.3,5,57,58,5
20200327,10,三里街,16,优,NaN,6,NaN,0.2,19,49,48,3
20200327,10,琥珀山庄,19,优,NaN,9,NaN,0.8,24,58,62,3
20200327,10,董铺水库,21,优,NaN,6,21,0.5,13,48,50,5
20200327,10,长江中路,21,优,NaN,3,13,0.1,17,65,68,2
20200327,10,庐阳区,31,优,NaN,11,31,0.4,32,41,50,16
20200327,10,瑶海区,19,优,NaN,10,16,0.4,16,58,61,5
20200327,10,包河区,24,优,NaN,6,24,0.1,34,42,47,2
20200327,10,滨湖新区,21,优,NaN,9,21,0.3,20,52,51,6
20200327,10,高新区,18,优,NaN,11,18,0.5,16,53,54,7
20200327,11,明珠广场,20,优,NaN,13,NaN,0.2,2,62,59,5
20200327,11,三里街,17,优,NaN,6,14,0.2,17,52,49,4
20200327,11,琥珀山庄,20,优,NaN,8,14,0.8,20,62,62,3
20200327,11,董铺水库,20,优,NaN,3,20,0.5,12,50,50,6
20200327,11,长江中路,23,优,NaN,NaN,17,0.1,16,71,69,4
20200327,11,庐阳区,36,优,NaN,7,36,0.4,28,46,48,14
20200327,11,瑶海区,21,优,NaN,7,21,0.4,12,65,62,6
20200327,11,包河区,29,优,NaN,9,29,NaN,33,45,47,3
20200327,11,滨湖新区,22,优,NaN,9,22,0.3,18,53,52,7
20200327,11,高新区,19,优,NaN,7,19,0.5,15,57,55,8
20200327,12,明珠广场,23,优,NaN,7,23,0.2,2,69,60,6
20200327,12,三里街,23,优,NaN,6,23,0.2,16,56,50,3
20200327,12,琥珀山庄,21,优,NaN,9,19,0.8,19,65,62,3
20200327,12,董铺水库,21,优,NaN,2,21,0.5,12,52,50,6
20200327,12,长江中路,24,优,NaN,NaN,24,0.1,16,73,69,4
20200327,12,庐阳区,34,优,NaN,9,34,0.4,29,49,47,12
20200327,12,瑶海区,26,优,NaN,3,26,0.4,9,70,63,6
20200327,12,包河区,34,优,NaN,14,34,0.1,28,52,47,4
20200327,12,滨湖新区,23,优,NaN,6,23,0.3,14,60,54,8
20200327,12,高新区,28,优,NaN,9,28,0.5,14,59,55,8
20200327,13,明珠广场,24,优,NaN,7,NaN,0.3,NaN,74,61,5
20200327,13,三里街,34,优,NaN,4,34,0.2,17,57,50,3
20200327,13,琥珀山庄,34,优,NaN,7,34,0.8,18,69,62,3
20200327,13,董铺水库,29,优,NaN,2,29,0.5,11,57,50,7
20200327,13,长江中路,35,优,NaN,8,35,0.1,15,77,69,3
20200327,13,庐阳区,34,优,NaN,8,34,0.4,24,58,47,11
20200327,13,瑶海区,34,优,NaN,9,34,0.4,9,74,63,6
20200327,13,包河区,35,优,NaN,12,35,0.2,32,50,47,3
20200327,13,滨湖新区,28,优,NaN,4,28,0.3,14,60,54,8
20200327,13,高新区,32,优,NaN,13,32,0.5,15,60,55,8
20200327,14,明珠广场,NaN,,NaN,NaN,NaN,NaN,19,68,62,5
