Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,安居小区,40,优,NaN,11,40,0.4,3,71,79,3
20200326,18,中心广场,23,优,NaN,6,11,0.2,14,73,80,1
20200326,18,农牧车辆厂,35,优,NaN,4,35,0.3,17,65,74,9
20200326,18,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,市环境监测站,41,优,NaN,12,41,0.4,5,82,90,3
20200326,18,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200326,18,富区青少年活动中心,36,优,NaN,6,36,0.3,16,66,80,3
20200326,20,安居小区,31,优,NaN,16,31,0.4,1,63,75,2
20200326,20,中心广场,22,优,NaN,11,19,0.3,12,68,77,1
20200326,20,农牧车辆厂,34,优,NaN,6,34,0.3,3,60,70,4
20200326,20,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,市环境监测站,47,优,NaN,11,47,NaN,NaN,70,85,6
20200326,20,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200326,20,富区青少年活动中心,37,优,NaN,2,37,0.3,7,65,76,3
20200326,21,安居小区,32,优,NaN,18,32,0.4,2,61,73,2
20200326,21,中心广场,22,优,NaN,11,22,0.2,12,64,74,1
20200326,21,农牧车辆厂,31,优,NaN,8,31,0.3,3,59,68,5
20200326,21,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,市环境监测站,42,优,NaN,5,42,0.3,5,NaN,84,12
20200326,21,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200326,21,富区青少年活动中心,43,优,NaN,7,43,0.3,8,62,74,4
20200327,10,安居小区,28,优,NaN,19,26,0.4,1,70,60,2
20200327,10,中心广场,24,优,NaN,11,24,0.2,13,70,63,1
20200327,10,农牧车辆厂,64,良,颗粒物(PM10),17,77,0.3,18,66,48,5
20200327,10,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,市环境监测站,42,优,NaN,17,42,0.2,4,72,60,3
20200327,10,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,10,富区青少年活动中心,48,优,NaN,22,48,0.3,7,72,59,2
20200327,11,安居小区,26,优,NaN,12,26,0.4,2,72,61,2
20200327,11,中心广场,25,优,NaN,12,25,0.2,14,69,64,1
20200327,11,农牧车辆厂,60,良,颗粒物(PM10),14,69,0.3,17,66,50,6
20200327,11,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,市环境监测站,42,优,NaN,10,42,0.2,4,74,62,3
20200327,11,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,11,富区青少年活动中心,42,优,NaN,14,42,0.3,7,73,62,2
20200327,12,安居小区,23,优,NaN,11,22,0.4,2,73,63,2
20200327,12,中心广场,23,优,NaN,14,22,0.3,12,72,65,1
20200327,12,农牧车辆厂,44,优,NaN,NaN,44,0.3,12,67,54,NaN
20200327,12,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,市环境监测站,33,优,NaN,9,33,0.2,3,74,64,2
20200327,12,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,12,富区青少年活动中心,44,优,NaN,6,44,0.3,8,72,64,2
20200327,13,安居小区,24,优,NaN,12,14,0.4,2,74,65,2
20200327,13,中心广场,24,优,NaN,9,18,0.2,12,74,66,2
20200327,13,农牧车辆厂,76,良,颗粒物(PM10),9,101,0.3,NaN,67,57,4
20200327,13,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市环境监测站,32,优,NaN,21,32,0.2,3,77,66,3
20200327,13,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,13,富区青少年活动中心,45,优,NaN,8,45,0.3,6,76,66,2
20200327,14,安居小区,26,优,NaN,14,26,0.4,2,73,68,2
20200327,14,中心广场,24,优,NaN,8,12,0.2,12,74,68,2
20200327,14,农牧车辆厂,54,良,颗粒物(PM10),8,57,NaN,20,NaN,60,9
20200327,14,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,市环境监测站,34,优,NaN,10,34,0.2,3,76,69,3
20200327,14,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,14,富区青少年活动中心,40,优,NaN,9,40,0.3,6,76,69,2
20200327,15,安居小区,23,优,NaN,13,20,0.4,2,73,70,2
20200327,15,中心广场,23,优,NaN,4,14,0.2,13,73,70,2
20200327,15,农牧车辆厂,50,优,NaN,12,50,0.2,13,66,63,8
20200327,15,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市环境监测站,28,优,NaN,3,28,0.2,3,75,72,3
20200327,15,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,15,富区青少年活动中心,33,优,NaN,6,33,0.3,8,75,72,2
20200327,17,安居小区,23,优,NaN,14,21,0.4,1,72,72,2
20200327,17,中心广场,23,优,NaN,6,17,0.3,12,72,72,2
20200327,17,农牧车辆厂,44,优,NaN,12,44,0.3,5,67,67,7
20200327,17,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市环境监测站,35,优,NaN,24,26,0.3,4,74,75,3
20200327,17,富区环保局(停运191231),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,富区青少年活动中心(启用191231),47,优,NaN,31,47,1.3,42,35,40,13
20200327,17,富区青少年活动中心,37,优,NaN,4,37,0.3,8,72,74,3
20200330,10,安居小区,79,良,颗粒物(PM10),56,108,0.8,18,80,58,14
20200330,10,中心广场,65,良,颗粒物(PM10),44,80,0.7,22,74,51,13
20200330,10,农牧车辆厂,87,良,颗粒物(PM10),48,123,0.7,30,74,37,13
20200330,10,富区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,市环境监测站,105,轻度污染,细颗粒物(PM2.5),79,123,0.6,21,90,56,11
