Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,嘉应大学,20,优,NaN,14,NaN,0.5,11,47,60,4
20200326,18,梅县新城,25,优,NaN,17,NaN,0.6,17,46,59,7
20200326,18,环境监控中心,24,优,NaN,14,24,0.5,18,31,54,5
20200326,20,嘉应大学,26,优,NaN,18,25,0.5,8,28,56,4
20200326,20,梅县新城,38,优,NaN,21,38,0.8,36,8,51,6
20200326,20,环境监控中心,32,优,NaN,15,32,0.6,19,13,45,5
20200326,21,嘉应大学,40,优,NaN,28,NaN,0.6,12,20,50,4
20200326,21,梅县新城,27,优,NaN,18,27,0.6,27,10,44,5
20200326,21,环境监控中心,20,优,NaN,14,18,0.5,18,19,39,5
20200327,10,嘉应大学,74,良,细颗粒物(PM2.5),54,NaN,0.7,18,25,14,4
20200327,10,梅县新城,53,良,细颗粒物(PM2.5),37,39,0.6,19,32,20,4
20200327,10,环境监控中心,55,良,颗粒物(PM10),37,59,0.6,24,16,15,5
20200327,11,嘉应大学,67,良,细颗粒物(PM2.5),48,NaN,0.6,12,29,13,3
20200327,11,梅县新城,49,优,NaN,34,41,0.7,17,26,20,5
20200327,11,环境监控中心,45,优,NaN,31,NaN,0.5,18,NaN,14,5
20200327,12,嘉应大学,46,优,NaN,32,NaN,0.6,12,43,18,4
20200327,12,梅县新城,33,优,NaN,23,25,0.6,14,44,24,5
20200327,12,环境监控中心,NaN,,NaN,NaN,NaN,0.6,17,NaN,13,5
20200327,13,嘉应大学,29,优,NaN,20,20,0.6,9,68,26,4
20200327,13,梅县新城,24,优,NaN,15,24,0.5,9,66,30,4
20200327,13,环境监控中心,19,优,NaN,13,NaN,0.5,9,55,20,4
20200327,14,嘉应大学,24,优,NaN,13,23,0.5,4,74,35,4
20200327,14,梅县新城,23,优,NaN,14,NaN,0.4,7,72,37,NaN
