Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,65,良,颗粒物(PM10),35,79,1.0,27,29,10,2
20200326,18,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,开发区,78,良,细颗粒物(PM2.5),57,95,1.1,20,25,10,6
20200326,18,阜阳职业技术学院,48,优,NaN,24,48,1.1,15,20,15,8
20200326,20,市监测站,74,良,细颗粒物(PM2.5),54,78,0.5,24,34,16,1
20200326,20,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,开发区,121,轻度污染,颗粒物(PM10),64,192,0.6,19,28,16,7
20200326,20,阜阳职业技术学院,68,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",49,85,0.7,NaN,NaN,17,NaN
20200326,21,市监测站,95,良,颗粒物(PM10),58,140,0.4,21,39,21,1
20200326,21,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,开发区,88,良,颗粒物(PM10),50,125,0.4,13,34,20,6
20200326,21,阜阳职业技术学院,104,轻度污染,颗粒物(PM10),54,157,0.5,17,40,21,6
20200327,10,市监测站,36,优,NaN,18,36,0.6,26,34,38,7
20200327,10,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,开发区,49,优,NaN,19,49,0.5,20,33,34,5
20200327,10,阜阳职业技术学院,33,优,NaN,23,33,0.6,17,38,39,6
20200327,11,市监测站,44,优,NaN,21,44,0.6,26,36,37,7
20200327,11,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,开发区,51,良,颗粒物(PM10),20,51,0.5,18,37,34,6
20200327,11,阜阳职业技术学院,42,优,NaN,29,39,0.6,19,39,39,6
20200327,12,市监测站,46,优,NaN,20,46,0.5,19,45,38,5
20200327,12,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,开发区,53,良,颗粒物(PM10),29,55,0.5,14,41,34,6
20200327,12,阜阳职业技术学院,36,优,NaN,25,35,0.6,17,45,40,6
20200327,13,市监测站,51,良,颗粒物(PM10),25,52,0.4,19,50,40,4
20200327,13,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,开发区,54,良,颗粒物(PM10),24,57,0.5,10,48,36,5
20200327,13,阜阳职业技术学院,42,优,NaN,26,42,0.6,15,48,42,6
20200327,13,市监测站,51,良,颗粒物(PM10),25,52,0.4,19,50,40,4
20200327,13,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,开发区,54,良,颗粒物(PM10),24,57,0.5,10,48,36,5
20200327,13,阜阳职业技术学院,42,优,NaN,26,42,0.6,15,48,42,6
20200327,14,市监测站,46,优,NaN,22,46,0.4,20,52,42,4
20200327,14,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,开发区,44,优,NaN,27,44,0.5,11,48,38,6
20200327,14,阜阳职业技术学院,38,优,NaN,25,38,0.5,15,52,44,5
20200327,15,市监测站,35,优,NaN,22,35,0.3,23,51,43,4
20200327,15,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,开发区,42,优,NaN,25,42,0.4,14,45,40,6
20200327,15,阜阳职业技术学院,48,优,NaN,33,39,0.5,17,49,44,5
20200327,15,市监测站,35,优,NaN,22,35,0.3,23,51,43,4
20200327,15,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,开发区,42,优,NaN,25,42,0.4,14,45,40,6
20200327,15,阜阳职业技术学院,48,优,NaN,33,39,0.5,17,49,44,5
20200327,16,市监测站,NaN,,NaN,NaN,NaN,0.3,19,55,45,3
20200327,16,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,开发区,46,优,NaN,24,46,0.4,18,49,42,6
20200327,16,阜阳职业技术学院,40,优,NaN,27,40,0.5,20,50,45,6
20200327,17,市监测站,40,优,NaN,20,40,0.3,22,52,47,3
20200327,17,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,开发区,47,优,NaN,20,47,0.5,21,48,44,5
20200327,17,阜阳职业技术学院,38,优,NaN,26,32,0.5,20,53,47,6
20200330,07,市监测站,36,优,NaN,25,28,0.3,22,48,46,4
20200330,07,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,开发区,43,优,NaN,22,43,0.4,25,32,36,6
20200330,07,阜阳职业技术学院,36,优,NaN,25,32,0.4,15,52,43,12
20200330,08,市监测站,34,优,NaN,23,34,0.3,18,56,47,5
20200330,08,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,开发区,42,优,NaN,23,42,0.4,19,40,36,6
20200330,08,阜阳职业技术学院,35,优,NaN,24,NaN,0.4,13,59,45,10
20200330,09,市监测站,41,优,NaN,20,41,0.3,13,64,49,3
20200330,09,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,开发区,32,优,NaN,22,31,0.4,12,58,39,6
20200330,09,阜阳职业技术学院,42,优,NaN,29,NaN,0.4,13,67,47,7
20200330,09,市监测站,41,优,NaN,20,41,0.3,13,64,49,3
20200330,09,市委党校,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,开发区,32,优,NaN,22,31,0.4,12,58,39,6
